序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,动态市盈率,换手率,封单资金,最后封板时间,板上成交额,连续跌停,开板次数,所属行业
1,600421,退市华嵘,-9.090909004211426,0.3,477.72 万,5868.00 万,5868.00 万,2.0024497509002686,7.899693489074707,4734,150000,2025204,1,5,通用设备
2,600696,退市岩石,-9.722222328186035,0.65,220.39 万,2.17 亿,2.17 亿,-1.6324430704116821,0.9742496013641357,22452,150000,876303,1,6,白酒Ⅱ
3,600608,退市沪科,-10.0,0.18,804.32 万,5730.69 万,5919.51 万,-8.8770751953125,13.72088623046875,418046,133031,5238363,1,4,贸易Ⅱ
4,600193,退市创兴,-10.526315689086914,0.17,598.45 万,7231.34 万,7231.34 万,7.273694038391113,8.147343635559082,2389404,094538,4349124,1,1,装修装饰
5,600636,退市国化,-10.0,1.71,3959.18 万,7.50 亿,7.50 亿,-8.636011123657227,5.123606204986572,4926563,131019,16967911,1,7,教育
6,600279,重庆港,-10.05385971069336,5.01,1.44 亿,59.46 亿,59.46 亿,1598.7454833984375,2.366719961166382,5911549,101325,50229759,1,9,航运港口
7,002243,力合科创,-9.942856788635254,7.88,4.64 亿,94.89 亿,95.40 亿,-111.021240234375,4.6939191818237305,9765857,135354,114077203,1,5,化妆品
8,000517,荣安地产,-9.871244430541992,2.1,2.81 亿,52.33 亿,66.86 亿,-58.748321533203125,5.043518543243408,11046840,131303,63696570,1,18,房地产开
9,603319,XD美湖股,-9.990346908569336,37.3,12.84 亿,126.50 亿,126.50 亿,142.68887329101562,9.81396198272705,127191731,102138,115230144,1,3,汽车零部
