序号,代码,名称,最新价,涨跌幅,成交额(亿元)
1,sz300308,中际旭创,1180.0,2.165,466.76 亿
2,sz300502,新易盛,785.73,8.377,268.04 亿
3,sz000725,京东方Ａ,6.52,3.657,255.96 亿
4,sh600522,中天科技,54.48,9.994,249.78 亿
5,sh603986,兆易创新,500.5,5.588,205.93 亿
6,sh600487,亨通光电,105.02,10.003,174.94 亿
7,sz002463,沪电股份,141.09,2.985,171.85 亿
8,sz300476,胜宏科技,342.55,8.815,166.67 亿
9,sz002384,东山精密,224.4,5.352,157.73 亿
10,sz300394,天孚通信,443.92,4.425,153.99 亿
11,sh601138,工业富联,74.74,6.044,147.88 亿
12,sh688256,寒武纪,1270.01,1.572,135.14 亿
13,sh688008,澜起科技,236.4,5.39,123.51 亿
14,sh600584,长电科技,75.29,7.098,122.59 亿
15,sz000063,中兴通讯,39.14,6.33,120.31 亿
16,sz002281,光迅科技,210.22,1.56,119.80 亿
17,sz002475,立讯精密,69.34,4.838,115.50 亿
18,sz300408,三环集团,141.02,14.725,114.06 亿
19,sz300750,宁德时代,399.5,1.649,109.26 亿
20,sz000988,华工科技,155.53,4.488,99.36 亿
