序号,代码,名称,最新价,涨跌幅,成交额(亿元)
1,sh603986,兆易创新,654.29,-3.464,397.69亿
2,sz300308,中际旭创,1098.92,-1.53,347.04亿
3,sz000725,京东方Ａ,7.76,-7.399,297.11亿
4,sz300502,新易盛,506.89,-3.633,221.49亿
5,sz301308,江波龙,681.8,10.32,202.33亿
6,sh600584,长电科技,95.09,4.632,197.49亿
7,sh688525,佰维存储,454.7,6.261,196.35亿
8,sz001309,德明利,935.0,6.02,195.59亿
9,sz002384,东山精密,224.46,-3.553,174.53亿
10,sh600487,亨通光电,84.6,-5.39,171.32亿
11,sh688008,澜起科技,268.68,0.705,168.91亿
12,sh600176,中国巨石,63.81,-10.0,157.83亿
13,sh688256,寒武纪,1369.75,1.238,140.45亿
14,sz300223,北京君正,253.0,-2.527,134.77亿
15,sh600522,中天科技,48.03,-4.361,131.36亿
16,sh688981,中芯国际,143.99,2.623,127.37亿
17,sz002407,多氟多,45.86,-7.053,125.74亿
18,sh688041,海光信息,339.0,4.179,124.18亿
19,sh688012,中微公司,420.0,1.525,123.65亿
20,sz002371,北方华创,803.6,-1.52,121.93亿
