排名,板块名称,板块代码,最新价,涨跌额,涨跌幅,总市值,换手率,上涨家数,下跌家数,领涨股票,领涨股票-涨跌幅
1,CPO概念,BK1128,7128.43,163.51,2.35,37390.07 亿,6.44,29,16,航天电器,10.0
2,F5G概念,BK1088,4709.15,106.11,2.31,16647.37 亿,3.49,16,9,光迅科技,10.0
3,光纤概念,BK1660,1078.91,21.26,2.01,30934.45 亿,4.03,39,23,长江通信,9.99
4,昨日连板_含一字,BK1051,5938.89,112.06,1.92,1401.26 亿,16.23,9,6,华远控股,10.05
5,3D摄像头,BK0901,1637.92,29.9,1.86,6610.29 亿,3.76,4,5,五方光电,10.02
