序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
1,301181,标榜股份,53.35,20.0,8.89,88381.0,435577110.36,22.87,53.35,43.18,43.97,44.46,5.11,9.8,51.11,4.3,6164110910.0,4811168247.0,0.0,0.0,23.35,20.76
2,300489,光智科技,61.44,20.0,10.24,214152.0,1265733739.82,21.66,61.44,50.35,51.0,51.2,2.67,15.45,-257.53,13.37,8549857382.0,8518562673.0,0.0,0.0,18.43,20.94
3,688693,锴威特,78.5,17.3,11.58,102529.0,758412134.0,22.16,79.56,64.73,65.11,66.92,1.57,26.35,-63.71,7.28,5784210564.0,3053996499.0,-0.25,0.49,105.77,109.67
4,300843,胜蓝股份,69.61,14.43,8.78,172256.0,1156856777.85,20.01,71.77,59.6,60.01,60.83,2.09,10.73,101.84,7.15,11395573407.0,11172515541.0,0.06,0.16,39.58,35.01
5,300461,田中精机,74.55,13.82,9.05,143277.0,1037442481.0,19.73,77.39,64.47,65.36,65.5,1.32,9.97,1860.01,22.02,11708576389.0,10713077809.0,0.07,-0.01,283.29,290.72
6,300548,长芯博创,231.86,12.34,25.47,314150.0,6993638027.43,15.94,233.0,200.11,200.11,206.39,1.15,11.67,201.89,34.41,67604052714.0,62435313664.0,-0.06,-0.04,72.82,63.28
7,300854,中兰环保,33.79,11.01,3.35,86441.0,274153911.24,14.36,33.86,29.49,30.44,30.44,1.91,10.63,-122.92,3.53,3381323063.0,2748508166.0,0.09,0.18,99.59,100.65
8,002107,沃华医药,7.65,10.07,0.7,531223.0,399872583.39,11.51,7.65,6.85,6.92,6.95,1.76,9.3,30.12,6.53,4415653440.0,4371164222.0,0.0,0.0,14.86,25.62
9,002328,新朋股份,9.19,10.06,0.84,913082.0,815494162.81,11.26,9.19,8.25,8.3,8.35,1.16,16.0,37.54,2.13,7092566300.0,5245577524.0,0.0,0.0,31.1,39.03
10,600743,华远控股,2.41,10.05,0.22,1885965.0,425000375.0,14.61,2.41,2.09,2.2,2.19,4.02,8.04,-116.18,8.93,5654103106.0,5654103106.0,0.0,0.0,20.5,20.5
11,000889,中嘉博创,3.95,10.03,0.36,1186611.0,453154092.22,11.42,3.95,3.54,3.66,3.59,5.35,13.64,-94.54,52.11,3698349908.0,3435906220.0,0.0,0.0,9.12,9.72
12,002645,华宏科技,21.29,10.03,1.94,443489.0,908460872.36,10.65,21.29,19.23,19.5,19.35,0.91,7.93,50.99,3.35,13361611664.0,11899567561.0,0.0,0.0,40.07,45.42
13,000078,海王生物,3.84,10.03,0.35,3051348.0,1150325432.1,12.32,3.84,3.41,3.46,3.49,1.02,11.62,294.82,5.54,10103513307.0,10085533970.0,0.0,0.0,7.26,10.98
14,605189,富春染织,16.02,10.03,1.46,88756.0,142117965.0,0.82,16.02,15.9,16.02,14.56,2.14,4.57,40.52,1.68,3109124530.0,3109124530.0,0.0,0.0,1.33,2.23
15,002962,五方光电,15.37,10.02,1.4,161794.0,245213584.48,9.81,15.37,14.0,14.16,13.97,4.4,7.73,92.59,2.53,4482896460.0,3215158157.0,0.0,0.0,4.56,3.71
16,600629,华建集团,22.18,10.02,2.02,302055.0,659007775.0,8.28,22.18,20.51,20.7,20.16,2.08,3.17,300.47,4.09,21522111457.0,21140136169.0,0.0,0.0,0.91,2.21
