序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率,所属板块
1,600743,华远控股,2.41,10.05,0.22,1885965,4.25 亿,14.61,2.41,2.09,2.2,2.19,8.04,-116.18,8.93,昨日连板_含一字
2,000586,汇源通信,25.12,9.98,2.28,535423,13.37 亿,3.81,25.12,24.25,25.0,22.84,27.68,246.85,14.35,昨日连板_含一字
3,002491,通鼎互联,16.14,6.18,0.94,3792356,57.49 亿,14.87,16.66,14.4,15.59,15.2,32.24,-227.43,8.0,昨日连板_含一字
4,603813,*ST原尚,25.15,5.01,1.2,2674,672.51 万,0.0,25.15,25.15,25.15,23.95,0.25,-48.86,4.84,昨日连板_含一字
5,002528,ST英飞拓,4.62,5.0,0.22,17439,805.68 万,0.0,4.62,4.62,4.62,4.4,0.17,-56.02,54.73,昨日连板_含一字
6,002348,高乐股份,9.21,3.95,0.35,703152,6.51 亿,4.63,9.53,9.12,9.5,8.86,7.78,-560.53,19.59,昨日连板_含一字
7,600654,中安科,4.48,1.82,0.08,6745486,31.31 亿,9.09,4.84,4.44,4.84,4.4,29.11,48.94,7.46,昨日连板_含一字
8,002713,*ST东易,13.55,1.8,0.24,317249,4.26 亿,4.66,13.7,13.08,13.49,13.31,6.03,-165.95,-4.88,昨日连板_含一字
9,002957,科瑞技术,37.57,1.4,0.52,633763,24.18 亿,8.42,39.9,36.78,38.88,37.05,15.14,47.94,4.93,昨日连板_含一字
10,002051,中工国际,11.5,-0.26,-0.03,2311623,27.98 亿,10.23,12.68,11.5,12.5,11.53,18.68,46.3,1.22,昨日连板_含一字
11,603822,ST嘉澳,91.41,-1.07,-0.99,16110,1.49 亿,5.6,95.56,90.39,93.97,92.4,2.1,224.02,18.66,昨日连板_含一字
12,002181,粤 传 媒,12.85,-1.08,-0.14,2074344,27.82 亿,12.39,14.26,12.65,13.92,12.99,18.28,162.03,3.52,昨日连板_含一字
13,002663,普邦股份,2.39,-1.65,-0.04,999679,2.38 亿,5.35,2.47,2.34,2.41,2.43,7.73,-79.13,1.74,昨日连板_含一字
14,000919,金陵药业,8.58,-3.7,-0.33,1838204,17.22 亿,14.93,9.8,8.47,8.99,8.91,29.56,98.97,1.41,昨日连板_含一字
15,605162,新中港,14.15,-8.59,-1.33,519780,7.47 亿,6.01,14.86,13.93,14.7,15.48,12.8,46.92,4.46,昨日连板_含一字
