序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率,所属板块
1,300548,长芯博创,231.86,12.34,25.47,314150,69.94 亿,15.94,233.0,200.11,200.11,206.39,11.67,201.89,34.41,光纤概念
2,000070,特发信息,20.88,10.01,1.9,1862159,35.91 亿,14.65,20.88,18.1,18.67,18.98,20.95,1763.28,12.47,光纤概念
3,601869,长飞光纤,398.31,10.0,36.21,214583,80.99 亿,12.51,398.31,353.0,354.86,362.1,5.28,405.24,23.89,光纤概念
4,002281,光迅科技,108.09,10.0,9.83,891018,93.81 亿,12.21,108.09,96.09,96.13,98.26,11.43,90.96,8.92,光纤概念
5,600345,长江通信,49.42,9.99,4.49,240379,11.42 亿,11.4,49.42,44.3,44.3,44.93,11.36,734.38,4.63,光纤概念
6,000586,汇源通信,25.12,9.98,2.28,535423,13.37 亿,3.81,25.12,24.25,25.0,22.84,27.68,246.85,14.35,光纤概念
7,688313,仕佳光子,106.98,8.27,8.17,592664,61.34 亿,16.25,112.64,96.58,96.84,98.81,13.11,141.53,31.84,光纤概念
8,002008,大族激光,76.36,7.85,5.56,664940,49.70 亿,10.37,77.88,70.54,71.0,70.8,6.95,68.3,4.63,光纤概念
9,600498,烽火通信,54.95,7.22,3.7,1414581,73.72 亿,10.3,54.98,49.7,51.2,51.25,11.12,109.18,4.68,光纤概念
10,002491,通鼎互联,16.14,6.18,0.94,3792356,57.49 亿,14.87,16.66,14.4,15.59,15.2,32.24,-227.43,8.0,光纤概念
11,300747,锐科激光,32.46,6.01,1.84,419176,13.39 亿,9.47,33.0,30.1,30.32,30.62,8.23,109.56,5.33,光纤概念
12,688450,光格科技,38.78,5.64,2.07,34776,1.36 亿,10.13,40.31,36.59,36.72,36.71,7.11,-39.43,2.73,光纤概念
13,300227,光韵达,12.87,4.8,0.59,479126,6.18 亿,9.93,13.28,12.06,12.06,12.28,11.06,-27.9,5.29,光纤概念
14,603042,华脉科技,23.34,4.57,1.02,536789,12.23 亿,6.05,23.34,21.99,21.99,22.32,33.43,-77.26,4.34,光纤概念
15,000063,中兴通讯,35.56,4.47,1.52,1837523,64.30 亿,6.93,35.9,33.54,33.7,34.04,4.56,30.28,2.26,光纤概念
