序号,代码,名称,最新价,涨跌幅,成交额(亿元)
3,002475,立讯精密,55.09,5.4,163.01 亿
6,000988,华工科技,114.93,4.09,126.65 亿
7,002384,东山精密,131.9,10.0,122.50 亿
9,600487,亨通光电,59.54,1.67,114.02 亿
13,002281,光迅科技,108.09,10.0,93.81 亿
16,601869,长飞光纤,398.31,10.0,80.99 亿
20,600498,烽火通信,54.95,7.22,73.72 亿
