序号,代码,名称,最新价,涨跌幅,成交额(亿元)
1,300308,中际旭创,693.02,0.71,172.49 亿
2,300394,天孚通信,346.9,2.94,167.29 亿
3,002475,立讯精密,55.09,5.4,163.01 亿
4,300502,新易盛,490.0,-2.29,146.98 亿
5,300058,蓝色光标,16.66,2.15,142.82 亿
6,000988,华工科技,114.93,4.09,126.65 亿
7,002384,东山精密,131.9,10.0,122.50 亿
8,688256,寒武纪,1198.0,2.92,116.88 亿
9,600487,亨通光电,59.54,1.67,114.02 亿
10,603986,兆易创新,250.49,-2.14,110.54 亿
11,300750,宁德时代,389.99,-0.33,101.33 亿
12,300476,胜宏科技,278.02,-2.75,95.74 亿
13,002281,光迅科技,108.09,10.0,93.81 亿
14,002463,沪电股份,85.84,2.11,87.03 亿
15,601138,工业富联,55.02,-2.81,85.83 亿
16,601869,长飞光纤,398.31,10.0,80.99 亿
17,300475,香农芯创,147.55,-0.43,79.10 亿
18,601899,紫金矿业,33.9,-2.08,74.88 亿
19,300274,阳光电源,123.8,-2.51,73.79 亿
20,600498,烽火通信,54.95,7.22,73.72 亿
