序号,代码,名称,最新价,涨跌幅,成交额(亿元)
1,sz300308,中际旭创,902.37,0.435,262.23亿
2,sz300750,宁德时代,335.49,-3.65,174.45亿
3,sz300502,新易盛,416.4,-0.192,155.75亿
4,sh603986,兆易创新,385.96,0.135,146.06亿
5,sh688825,长鑫科技,58.39,-0.137,115.66亿
6,sz002436,兴森科技,40.12,9.17,114.12亿
7,sz002384,东山精密,186.42,-2.167,110.22亿
8,sh603083,XD剑桥科,222.3,7.329,109.45亿
9,sz300394,天孚通信,258.5,-3.184,108.88亿
10,sh600183,生益科技,146.28,-1.262,102.48亿
11,sh600487,亨通光电,63.11,-1.391,96.97亿
12,sh688256,寒武纪,1058.99,-3.057,92.89亿
13,sz002463,沪电股份,124.9,1.834,87.21亿
14,sh601899,紫金矿业,33.86,3.012,84.60亿
15,sz000977,浪潮信息,72.32,-3.238,77.31亿
16,sh600176,中国巨石,41.39,-0.743,73.37亿
17,sh600869,远东股份,22.66,8.525,70.69亿
18,sh601138,工业富联,64.75,-2.734,70.60亿
19,sz300475,香农芯创,179.66,1.589,69.08亿
20,sh688498,源杰科技,1715.0,0.764,68.16亿
