序号,股票代码,股票名称,收盘价,对应值,成交量,成交额,指标
1,000560,我爱我家,3.44,10.14,64772.4081,217921.248,涨幅偏离值达7%的证券
2,000620,盈新发展,3.32,10.14,56447.2821,182627.5842,涨幅偏离值达7%的证券
3,000833,粤桂股份,22.83,10.14,4036.8576,90047.4662,涨幅偏离值达7%的证券
4,002909,集泰股份,8.72,10.14,13599.9541,114256.2556,涨幅偏离值达7%的证券
5,002980,华盛昌,129.91,10.14,1783.5602,228850.0805,涨幅偏离值达7%的证券
6,600691,潞化科技,3.36,9.96,17422.5894,56183.26,涨幅偏离值达7%的证券
7,600792,云煤能源,4.47,9.9,5000.2145,21551.61,涨幅偏离值达7%的证券
8,600880,博瑞传播,4.58,9.9,1470.5366,6735.06,涨幅偏离值达7%的证券
9,600881,亚泰集团,2.07,9.91,25641.7483,51627.26,涨幅偏离值达7%的证券
10,605177,东亚药业,22.06,9.82,1101.5711,23017.13,涨幅偏离值达7%的证券
11,000892,欢瑞世纪,5.58,32.85,23351.0933,130548.3428,换手率达20%的证券
12,002297,博云新材,22.32,28.8,16504.5057,352635.3871,换手率达20%的证券
13,003005,竞业达,18.72,36.06,4839.1976,92587.2137,换手率达20%的证券
14,600127,金健米业,14.79,46.62,29921.6859,434781.26,换手率达20%的证券
15,600540,新赛股份,6.55,37.46,21779.1147,147095.41,换手率达20%的证券
16,600721,百花医药,12.28,32.92,12660.4474,152806.63,换手率达20%的证券
17,601123,马矿股份,17.1,34.32,3288.4794,56366.04,换手率达20%的证券
18,603395,红四方,30.97,42.53,2764.235,83937.02,换手率达20%的证券
19,920071,金钛股份,25.0,40.29,1269.273,32794.03,换手率达20%的证券
20,920176,维琪科技,71.8,41.09,326.5571,23080.55,换手率达20%的证券
21,920269,杰锋动力,35.85,52.21,464.6737,17041.81,换手率达20%的证券
22,920289,华汇智能,26.95,37.04,535.2212,14600.7,换手率达20%的证券
23,920895,花溪科技,30.2,36.34,1044.2202,30422.16,换手率达20%的证券
24,000582,北部湾港,11.08,-8.14,10576.6687,119850.9121,跌幅偏离值达7%的证券
25,002827,高争民爆,64.15,-9.57,2483.5272,160937.8864,跌幅偏离值达7%的证券
26,603311,金海高科,27.32,-7.18,1926.51,51805.95,跌幅偏离值达7%的证券
27,605398,新炬网络,25.38,-9.53,1737.571,44893.17,跌幅偏离值达7%的证券
28,000978,桂林旅游,8.01,23.63,11347.5339,81602.4781,连续三个交易日内，涨幅偏离值累计达20%的证券
29,002470,金正大,2.53,21.66,89649.2076,204862.2526,连续三个交易日内，涨幅偏离值累计达20%的证券
30,002579,中京电子,17.06,23.6,26130.867,397407.4084,连续三个交易日内，涨幅偏离值累计达20%的证券
31,600108,亚盛集团,5.28,20.83,3802.0737,19058.62,连续三个交易日内，涨幅偏离值累计达20%的证券
32,600371,万向德农,15.83,21.06,26024.4161,382160.56,连续三个交易日内，涨幅偏离值累计达20%的证券
33,600865,百大集团,13.74,20.79,2190.5611,27885.53,连续三个交易日内，涨幅偏离值累计达20%的证券
34,601595,上海电影,22.69,20.75,6700.5202,141786.84,连续三个交易日内，涨幅偏离值累计达20%的证券
35,603042,华脉科技,16.97,20.69,1778.5548,27902.51,连续三个交易日内，涨幅偏离值累计达20%的证券
36,603123,翠微股份,12.28,20.91,28043.8507,327525.9,连续三个交易日内，涨幅偏离值累计达20%的证券
37,603626,科森科技,21.69,20.7,9029.8713,188678.57,连续三个交易日内，涨幅偏离值累计达20%的证券
38,603679,华体科技,26.15,20.74,2261.6025,55036.62,连续三个交易日内，涨幅偏离值累计达20%的证券
39,603823,百合花,63.84,20.73,2033.9981,120525.96,连续三个交易日内，涨幅偏离值累计达20%的证券
40,603991,领先股份,177.42,20.45,1901.8272,316812.89,连续三个交易日内，涨幅偏离值累计达20%的证券
41,603999,读者传媒,7.29,20.63,3207.6713,21315.71,连续三个交易日内，涨幅偏离值累计达20%的证券
42,001366,播恩集团,16.38,16.57,3513.4882,57344.582,振幅值达15%的证券
43,600479,千金药业,14.81,15.62,13232.1619,187018.69,振幅值达15%的证券
44,300189,神农种业,7.68,44.88,39779.3165,313941.0075,
45,301516,中远通,19.45,44.54,3125.8822,62436.507,
46,301520,万邦医药,66.0,40.5,1324.3118,84146.9755,
47,301591,肯特股份,46.22,31.77,1420.07,66241.5635,
48,300684,中石科技,88.23,-15.46,4091.6337,371176.8176,
49,300788,中信出版,31.75,20.0,1528.526,47423.586,
50,688137,近岸蛋白,71.01,15.33,916.2531,60021.9,
51,688293,奥浦迈,68.29,20.0,854.033,53221.96,
52,920371,欧福蛋业,10.25,40.45,4184.8498,37728.88,
