序号,代码,名称,最新价,涨跌幅,成交额(亿元)
1,sh688981,中芯国际,133.81,12.616,289.97 亿
2,sh603986,兆易创新,445.02,10.001,265.24 亿
3,sh688256,寒武纪,1362.41,3.275,250.16 亿
4,sz300308,中际旭创,1037.0,0.68,235.81 亿
5,sz000988,华工科技,163.42,3.169,215.73 亿
6,sz300274,阳光电源,167.2,6.24,192.99 亿
7,sh688008,澜起科技,257.3,4.124,191.29 亿
8,sz300502,新易盛,587.97,2.702,191.11 亿
9,sh600584,长电科技,66.22,8.897,186.83 亿
10,sz002281,光迅科技,236.4,2.386,181.28 亿
11,sz002384,东山精密,223.0,0.414,172.68 亿
12,sh600522,中天科技,45.41,1.93,155.40 亿
13,sz300394,天孚通信,358.99,-1.105,149.09 亿
14,sh688012,中微公司,490.33,2.256,141.71 亿
15,sh601138,工业富联,68.15,-0.598,141.53 亿
16,sh688041,海光信息,316.74,1.513,134.05 亿
17,sh600487,亨通光电,75.78,0.411,130.07 亿
18,sz002475,立讯精密,70.07,-3.218,128.61 亿
19,sz002156,通富微电,62.28,5.81,122.88 亿
20,sz300750,宁德时代,414.75,-0.759,117.35 亿
