序号,代码,名称,最新价,涨跌额,涨跌幅,昨收,今开,最高,最低,成交量,成交额,成交额(亿元)
1,sh000001,上证指数,4108.567,26.093,0.639,4082.474,4109.777,4125.6166,4090.6213,689746535.0,1068043734805,10680.44 亿
2,sz399001,深证成指,14088.839,171.087,1.229,13917.752,14160.198,14202.762,13999.702,75896647743.0,1321994081962,13219.94 亿
3,Total,沪深总成交额,,,,,,,,,2390037816767,23900.38 亿
