序号,代码,名称,最新价,涨跌幅,成交额(亿元),板块代码,板块名称,主营业务,板块次数
1,sz300502,新易盛,401.24,8.628,280.04 亿,BK0029,通信设备,高性能光模块的研发、生产和销售。,1
2,sz300308,中际旭创,557.0,3.34,214.45 亿,BK0029,通信设备,高端光通信收发模块的研发、生产及销售。,2
3,sh688525,佰维存储,191.5,8.813,179.55 亿,BK0021,半导体,半导体存储器的研发设计、封装测试、生产和销售。,1
4,sh600089,特变电工,32.78,6.187,179.40 亿,BK0065,综合,输变电业务、新能源业务、能源业务及新材料业务。,1
5,sz000988,华工科技,106.61,4.983,165.09 亿,BK0071,自动化设备,激光设备的生产与销售、激光防伪标识的生产与销售、敏感电子元器件的生产与销售、光通信电子元器件的生产与销售、计算机软件与信息系统集成等技术及产品的开发、研制、销售等业务。,1
6,sz300476,胜宏科技,284.95,-0.583,125.77 亿,BK0085,元件,新型电子器件（高精密度线路板）的研究开发、生产和销售。,1
7,sh600759,洲际油气,8.7,5.327,125.26 亿,BK0007,油气开采及服务,石油勘探开发和石油化工项目的投资及相关工程的技术开发、咨询、服务;石油化工产品、管道生产建设所需物资设备、器材的销售;油品贸易和进出口;能源基础产业投资、开发、经营;新能源产品技术研发、生产、销售;股权投资;房屋租赁及物业管理。,1
8,sz300394,天孚通信,334.8,-0.226,109.90 亿,BK0029,通信设备,高速光器件的研发、规模量产和销售业务。,3
9,sz300750,宁德时代,350.25,3.349,108.20 亿,BK0096,电池,动力电池、储能电池的研发、生产、销售。,1
10,sh688256,寒武纪,1168.0,4.558,99.22 亿,BK0021,半导体,应用于各类云服务器、边缘计算设备、终端设备中人工智能核心芯片的研发、设计和销售。,2
11,sh601899,紫金矿业,37.67,-0.764,98.48 亿,BK0068,工业金属,金、铜、锌铅、锂等矿产资源勘查与开发，清洁能源业务。,1
12,sz000547,航天发展,31.61,7.7,95.17 亿,BK0091,军工电子,蓝军体系及装备、新一代通信与指控装备、空间信息应用、数据智能与安全。,1
13,sh600410,华胜天成,28.35,-2.443,93.30 亿,BK0086,IT服务,IT系统解决方案、数字化基础设施、数字化应用等业务的生产、制造和销售。,1
14,sh601857,中国石油,12.69,-4.154,89.53 亿,BK0080,石油加工贸易,原油及天然气的勘探、开发、生产、输送和销售及新能源业务；原油及石油产品的炼制，基本及衍生化工产品、其他化工产品的生产和销售及新材料业务；炼油产品和非油品的销售以及贸易业务；天然气的输送及销售业务。,1
15,sh600487,亨通光电,50.9,5.209,84.95 亿,BK0029,通信设备,通信网络业务、能源互联业务。,4
16,sz002195,岩山科技,10.69,9.979,80.93 亿,BK0086,IT服务,互联网信息服务业务、人工智能业务和多元投资业务。,2
17,sh601600,中国铝业,14.79,2.353,79.99 亿,BK0068,工业金属,铝土矿、煤炭等资源的勘探开采，氧化铝、原铝、铝合金及炭素产品的生产、销售、技术研发，国际贸易，物流产业，火力及新能源发电等。,2
18,sh600498,烽火通信,56.77,-2.858,79.79 亿,BK0029,通信设备,通信系统设备、光纤及线缆、数据网络等产品的生产与销售。,5
19,sz300442,润泽科技,94.7,0.106,78.55 亿,BK0062,通信服务,IDC业务和AIDC业务。,1
20,sh601138,工业富联,55.1,2.493,75.37 亿,BK0024,消费电子,设计、研发、制造和销售通信及移动网络设备、云计算、工业互联网及机器人等电子设备产品。,1
