序号,代码,名称,最新价,涨跌幅,成交额(亿元),板块代码,板块名称,主营业务,板块次数
1,sz000988,华工科技,106.61,4.983,165.09 亿,BK0071,自动化设备,激光设备的生产与销售、激光防伪标识的生产与销售、敏感电子元器件的生产与销售、光通信电子元器件的生产与销售、计算机软件与信息系统集成等技术及产品的开发、研制、销售等业务。,1
2,sh600759,洲际油气,8.7,5.327,125.26 亿,BK0007,油气开采及服务,石油勘探开发和石油化工项目的投资及相关工程的技术开发、咨询、服务;石油化工产品、管道生产建设所需物资设备、器材的销售;油品贸易和进出口;能源基础产业投资、开发、经营;新能源产品技术研发、生产、销售;股权投资;房屋租赁及物业管理。,1
3,sz000547,航天发展,31.61,7.7,95.17 亿,BK0091,军工电子,蓝军体系及装备、新一代通信与指控装备、空间信息应用、数据智能与安全。,1
4,sz002195,岩山科技,10.69,9.979,80.93 亿,BK0086,IT服务,互联网信息服务业务、人工智能业务和多元投资业务。,2
