序号,代码,名称,最新价,涨跌幅,成交额(亿元)
1,sz300308,中际旭创,857.03,-3.378,275.44 亿
2,sz300502,新易盛,538.0,0.136,254.36 亿
3,sz002475,立讯精密,71.97,9.045,233.72 亿
4,sh600487,亨通光电,71.38,2.646,179.21 亿
5,sz002384,东山精密,186.7,-0.639,168.59 亿
6,sh601138,工业富联,67.25,3.446,157.53 亿
7,sh688008,澜起科技,178.09,8.924,145.78 亿
8,sz300750,宁德时代,434.88,-2.252,145.14 亿
9,sh688041,海光信息,296.27,3.954,138.49 亿
10,sh600522,中天科技,35.78,7.739,122.23 亿
11,sz300136,信维通信,88.46,8.807,120.69 亿
12,sz300394,天孚通信,322.25,-0.5,116.34 亿
13,sz300476,胜宏科技,317.4,0.574,112.69 亿
14,sh688981,中芯国际,116.58,5.065,112.50 亿
15,sz000988,华工科技,118.79,3.009,107.39 亿
16,sz002281,光迅科技,134.52,4.522,105.00 亿
17,sz002371,北方华创,516.25,9.213,102.78 亿
18,sh600519,贵州茅台,1403.2,-3.791,102.40 亿
19,sh688256,寒武纪,1356.72,0.312,96.53 亿
20,sh603986,兆易创新,303.42,1.921,95.94 亿
