序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,动态市盈率,换手率,封单资金,最后封板时间,板上成交额,连续跌停,开板次数,所属行业
1,603959,百利科技,-100.0,0.0,0.00,0.00,0.00,-0.0,0.0,0,000000,0,1,0,专业工程
2,600750,华润江中,-10.00361156463623,24.92,3.57 亿,156.67 亿,158.39 亿,13.74743938446045,2.25907301902771,2392818,150000,13202116,1,1,中药Ⅱ
3,603937,丽岛新材,-9.963898658752441,12.47,1.42 亿,26.05 亿,26.05 亿,-72.7072982788086,5.387032508850098,3122488,143116,71833435,1,58,工业金属
4,002469,三维化学,-10.03671932220459,7.35,1.93 亿,46.19 亿,47.69 亿,-1237.9532470703125,4.159202575683594,3563603,144600,129800108,1,4,化学原料
5,600633,浙数文化,-10.006627082824707,13.58,22.15 亿,172.20 亿,172.20 亿,30.073974609375,12.70445442199707,4329304,145639,574108932,1,26,游戏Ⅱ
6,600302,标准股份,-9.97177791595459,9.57,1.39 亿,33.11 亿,33.11 亿,-54.00332260131836,4.140156269073486,14680389,104630,701689606,1,0,专用设备
7,603097,江苏华辰,-9.993202209472656,26.48,1.25 亿,42.37 亿,43.74 亿,8382.125,2.937119960784912,15641736,094609,65257312,2,1,电网设备
8,605183,确成股份,-9.979633331298828,17.68,8933.15 万,72.92 亿,73.53 亿,23.261432647705078,1.221130132675171,16963960,100844,48652708,1,12,橡胶
9,603586,金麒麟,-10.0,16.65,8505.23 万,32.64 亿,32.64 亿,95.87136840820312,2.5917510986328125,17129520,095016,433168065,1,4,汽车零部
10,603284,林平发展,-10.00185489654541,48.5,1.82 亿,8.96 亿,36.58 亿,19.739648818969727,19.75351333618164,17419308,112606,30444323,1,2,造纸
11,002990,盛视科技,-9.998151779174805,48.7,9.69 亿,67.22 亿,127.52 亿,149.47271728515625,14.090072631835938,23113020,134233,113670670,1,13,计算机设
12,600864,哈投股份,-10.028247833251953,6.37,8.36 亿,132.53 亿,132.53 亿,41.69186782836914,6.219387054443359,25478343,134222,273732482,1,9,证券Ⅱ
13,002705,新宝股份,-9.973333358764648,16.88,8.51 亿,136.41 亿,137.04 亿,13.680617332458496,6.048920631408691,29591028,135848,176102452,1,10,小家电
