序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率,所属板块
1,300561,*ST汇科,16.28,19.97,2.71,156669,2.55 亿,0.81,16.28,16.17,16.28,13.57,6.5,-349.41,9.16,昨日首板
2,000402,金 融 街,3.06,10.07,0.28,1466659,4.37 亿,10.79,3.06,2.76,2.78,2.78,4.91,-5.08,0.39,昨日首板
3,002418,康盛股份,6.26,10.02,0.57,1850578,11.47 亿,6.68,6.26,5.88,5.89,5.69,16.28,385.71,4.94,昨日首板
4,605255,天普股份,115.84,10.0,10.53,51014,5.61 亿,14.09,115.84,101.0,106.6,105.31,3.8,652.57,19.25,昨日首板
5,001299,美能能源,16.85,9.99,1.53,222814,3.62 亿,11.42,16.85,15.1,15.35,15.32,10.2,39.89,3.37,昨日首板
6,001309,德明利,481.49,7.66,34.25,216110,101.20 亿,8.57,488.5,450.15,450.15,447.24,13.43,158.68,33.41,昨日首板
7,002950,奥美医疗,14.59,7.6,1.03,635510,9.01 亿,10.1,14.9,13.53,13.83,13.56,14.06,19.87,2.48,昨日首板
8,002988,豪美新材,38.05,7.55,2.67,194377,6.98 亿,13.62,38.65,33.83,35.03,35.38,7.78,49.79,3.55,昨日首板
9,600480,凌云股份,11.47,6.3,0.68,1059177,11.97 亿,6.21,11.65,10.98,10.99,10.79,8.73,17.87,1.8,昨日首板
10,605117,德业股份,146.94,5.26,7.34,421391,62.32 亿,11.71,153.56,137.21,139.6,139.6,4.63,42.14,12.95,昨日首板
11,603026,石大胜华,89.56,5.17,4.4,273936,24.13 亿,7.49,91.15,84.77,85.0,85.16,11.77,1310.86,4.24,昨日首板
12,600238,*ST椰岛,4.12,5.1,0.2,243769,9570.82 万,10.2,4.12,3.72,3.72,3.92,5.47,-201.32,18.19,昨日首板
13,600165,ST宁科,3.71,5.1,0.18,112454,4103.99 万,5.1,3.71,3.53,3.54,3.53,1.53,-17.91,-14.18,昨日首板
14,600381,*ST春天,2.9,5.07,0.14,102936,2886.86 万,9.78,2.9,2.63,2.81,2.76,1.75,-450.91,1.65,昨日首板
15,603557,ST起步,3.97,5.03,0.19,95175,3723.16 万,4.5,3.97,3.8,3.8,3.78,1.53,-22.68,31.6,昨日首板
