序号,名称,代码,连板数,涨停统计,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,所属行业,涨停价,涨速,振幅
1,华远控股,600743,5.0,5天5板,10.188679695129395,2.92,2.36 亿,68.51 亿,68.51 亿,3.4530863761901855,105208800.0,093024,093024,0,一般零售,,,
2,长源东谷,603950,4.0,4天4板,10.00607681274414,54.31,14.83 亿,175.75 亿,176.04 亿,8.698592185974121,17617349.0,095433,110506,2,汽车零部,,,
3,圣阳股份,002580,3.0,3天3板,10.010537147521973,20.88,20.75 亿,94.45 亿,94.77 亿,22.580211639404297,207604035.0,093448,093906,2,电池,,,
4,中恒电气,002364,3.0,3天3板,9.994304656982422,38.63,5.80 亿,215.60 亿,217.71 亿,2.68935489654541,720067410.0,092500,092500,0,其他电源,,,
5,康盛股份,002418,2.0,2天2板,10.017574310302734,6.26,11.47 亿,71.14 亿,71.14 亿,16.28459930419922,155255493.0,093045,095130,3,家电零部,,,
6,金 融 街,000402,2.0,2天2板,10.071942329406738,3.06,4.37 亿,91.45 亿,91.46 亿,4.907402515411377,28033896.0,094257,094342,1,房地产开,,,
7,美能能源,001299,2.0,2天2板,9.986945152282715,16.85,3.62 亿,36.80 亿,40.88 亿,10.202108383178711,177922402.0,094427,094618,1,燃气Ⅱ,,,
8,天普股份,605255,2.0,2天2板,9.99905014038086,115.84,5.61 亿,155.32 亿,155.32 亿,3.804720401763916,37485824.0,144841,144841,0,汽车零部,,,
26,西藏城投,600773,1.0,首板,10.0,19.36,8.40 亿,184.23 亿,184.23 亿,4.645917892456055,69396326.0,095119,095947,1,房地产开,,,
46,盛新锂能,002240,1.0,首板,10.004903793334961,44.86,30.09 亿,409.53 亿,410.60 亿,7.6340227127075195,234212400.0,130421,130421,0,能源金属,,,
47,国城矿业,000688,1.0,首板,9.992688179016113,45.13,11.74 亿,534.82 亿,534.82 亿,2.2661941051483154,52283105.0,130318,131221,1,工业金属,,,
58,大中矿业,001203,1.0,首板,10.002577781677246,42.67,16.64 亿,557.26 亿,654.17 亿,3.120581865310669,124723556.0,141306,141306,0,冶钢原料,,,
1,新朋股份,002328,0.0,3天2板,6.4292778968811035,10.76,24.74 亿,61.42 亿,83.04 亿,40.45974349975586,,093006,,1,汽车零部,11.12,0.09302325546741486,9.09990119934082
9,德业股份,605117,0.0,2天1板,5.257879734039307,146.94,62.32 亿,1336.17 亿,1336.17 亿,4.634067535400391,,101308,,2,光伏设备,153.56,0.4443229138851166,11.712034225463867
13,和胜股份,002824,0.0,3天2板,7.241788387298584,27.1,16.26 亿,59.62 亿,84.33 亿,27.716190338134766,,104518,,1,工业金属,27.8,0.0,11.119905471801758
