序号,代码,名称,最新价,涨跌幅,成交额(亿元)
1,300502,新易盛,512.72,-1.87,191.16 亿
2,300750,宁德时代,427.13,2.68,176.26 亿
3,300308,中际旭创,738.0,0.46,167.31 亿
4,002384,东山精密,146.83,2.28,159.58 亿
5,002475,立讯精密,58.6,0.72,139.58 亿
6,000988,华工科技,125.16,7.97,134.52 亿
7,300476,胜宏科技,298.15,2.89,134.21 亿
8,300394,天孚通信,351.0,-2.2,130.74 亿
9,300274,阳光电源,134.24,2.64,113.83 亿
10,600487,亨通光电,53.49,-4.45,109.91 亿
11,603986,兆易创新,262.14,-1.11,108.96 亿
12,688041,海光信息,245.25,5.79,105.75 亿
13,001309,德明利,481.49,7.66,101.20 亿
14,688525,佰维存储,255.85,5.94,100.33 亿
15,688256,寒武纪,1219.62,0.74,96.85 亿
16,002460,赣锋锂业,84.38,0.48,85.46 亿
17,601869,长飞光纤,369.18,-3.95,84.25 亿
18,300390,天华新能,80.2,17.42,83.56 亿
19,600105,永鼎股份,38.7,1.57,82.70 亿
20,002281,光迅科技,113.73,5.48,80.24 亿
