序号,代码,名称,最新价,涨跌额,涨跌幅,昨收,今开,最高,最低,成交量,成交额,成交额(亿元)
1,sh000001,上证指数,3988.558,2.333,0.059,3986.2247,3971.1985,3991.2622,3966.1981,545781768.0,919436481788,9194.36 亿
2,sz399001,深证成指,14407.864,98.392,0.688,14309.472,14233.111,14440.265,14233.111,62315845017.0,1230918333890,12309.18 亿
3,Total,沪深总成交额,,,,,,,,,2150354815678,21503.55 亿
