排名,板块名称,板块代码,最新价,涨跌额,涨跌幅,总市值,换手率,上涨家数,下跌家数,领涨股票,领涨股票-涨跌幅
1,昨日连板_含一字,BK1051,6408.71,229.09,3.71,1636.40 亿,8.18,12,4,中恒电气,9.99
2,锂矿概念,BK1173,2348.62,83.77,3.7,45859.10 亿,3.41,32,5,西藏城投,10.0
3,昨日首板,BK1630,1710.94,50.84,3.06,7541.32 亿,15.42,40,14,金 融 街,10.07
4,昨日涨停_含一字,BK1050,34690.29,955.18,2.83,10338.46 亿,9.9,54,22,中恒电气,9.99
5,纳米银,BK0855,3161.56,80.09,2.6,1001.27 亿,8.27,6,1,行云科技,8.32
