序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率,所属板块
1,300561,*ST汇科,16.28,19.97,2.71,156669,2.55 亿,0.81,16.28,16.17,16.28,13.57,6.5,-349.41,9.16,昨日涨停_含一字
2,600743,华远控股,2.92,10.19,0.27,810129,2.36 亿,4.15,2.92,2.81,2.92,2.65,3.45,-140.76,10.82,昨日涨停_含一字
3,000402,金 融 街,3.06,10.07,0.28,1466659,4.37 亿,10.79,3.06,2.76,2.78,2.78,4.91,-5.08,0.39,昨日涨停_含一字
4,002418,康盛股份,6.26,10.02,0.57,1850578,11.47 亿,6.68,6.26,5.88,5.89,5.69,16.28,385.71,4.94,昨日涨停_含一字
5,603950,长源东谷,54.31,10.01,4.94,281492,14.83 亿,8.06,54.31,50.33,52.0,49.37,8.7,45.25,5.84,昨日涨停_含一字
6,002580,圣阳股份,20.88,10.01,1.9,1021391,20.75 亿,8.06,20.88,19.35,19.45,18.98,22.58,44.38,4.07,昨日涨停_含一字
7,605255,天普股份,115.84,10.0,10.53,51014,5.61 亿,14.09,115.84,101.0,106.6,105.31,3.8,652.57,19.25,昨日涨停_含一字
8,002364,中恒电气,38.63,9.99,3.51,150094,5.80 亿,0.0,38.63,38.63,38.63,35.12,2.69,224.99,9.0,昨日涨停_含一字
9,001299,美能能源,16.85,9.99,1.53,222814,3.62 亿,11.42,16.85,15.1,15.35,15.32,10.2,39.89,3.37,昨日涨停_含一字
10,001309,德明利,481.49,7.66,34.25,216110,101.20 亿,8.57,488.5,450.15,450.15,447.24,13.43,158.68,33.41,昨日涨停_含一字
11,002950,奥美医疗,14.59,7.6,1.03,635510,9.01 亿,10.1,14.9,13.53,13.83,13.56,14.06,19.87,2.48,昨日涨停_含一字
12,002988,豪美新材,38.05,7.55,2.67,194377,6.98 亿,13.62,38.65,33.83,35.03,35.38,7.78,49.79,3.55,昨日涨停_含一字
13,002824,和胜股份,27.1,7.24,1.83,609759,16.26 亿,11.12,27.8,24.99,24.99,25.27,27.72,63.07,3.73,昨日涨停_含一字
14,002328,新朋股份,10.76,6.43,0.65,2309409,24.74 亿,9.1,11.12,10.2,11.12,10.11,40.46,43.95,2.5,昨日涨停_含一字
15,600480,凌云股份,11.47,6.3,0.68,1059177,11.97 亿,6.21,11.65,10.98,10.99,10.79,8.73,17.87,1.8,昨日涨停_含一字
