序号,代码,名称,最新价,涨跌幅,成交额(亿元)
1,sz300308,中际旭创,1248.09,0.248,290.92 亿
2,sz002384,东山精密,249.06,4.074,249.39 亿
3,sh600487,亨通光电,107.5,8.28,237.70 亿
4,sh603986,兆易创新,532.76,2.849,226.74 亿
5,sz300502,新易盛,549.0,1.574,222.45 亿
6,sz300394,天孚通信,324.71,6.448,184.60 亿
7,sh600522,中天科技,54.15,5.453,170.61 亿
8,sh600183,生益科技,179.4,7.806,165.61 亿
9,sz300476,胜宏科技,355.48,3.187,165.30 亿
10,sz000725,京东方Ａ,6.1,3.041,158.22 亿
11,sz002463,沪电股份,140.64,5.144,153.33 亿
12,sz002428,云南锗业,101.2,-0.286,150.27 亿
13,sh600584,长电科技,76.93,3.512,147.01 亿
14,sz300750,宁德时代,403.53,1.364,141.08 亿
15,sz300408,三环集团,150.22,-0.02,135.15 亿
16,sh688008,澜起科技,244.17,1.695,130.98 亿
17,sh688256,寒武纪,1306.99,-2.098,130.96 亿
18,sz002281,光迅科技,230.01,2.014,130.31 亿
19,sh601138,工业富联,72.9,-0.681,127.71 亿
20,sz000636,风华高科,70.61,8.581,126.85 亿
