序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率,所属板块
1,603122,合富中国,18.69,10.01,1.7,716009,12.77 亿,10.95,18.69,16.83,17.1,16.99,17.99,-221.13,7.03,SPD概念
2,000950,重药控股,6.49,10.0,0.59,749054,4.86 亿,0.0,6.49,6.49,6.49,5.9,4.33,21.91,0.97,SPD概念
3,301408,华人健康,18.81,8.04,1.4,471911,8.69 亿,11.09,19.24,17.31,17.44,17.41,20.61,36.01,3.59,SPD概念
4,301584,建发致新,28.32,4.42,1.2,90430,2.55 亿,9.73,29.56,26.92,27.1,27.12,16.84,38.93,5.74,SPD概念
5,000028,国药一致,27.0,2.2,0.58,166254,4.47 亿,3.52,27.19,26.26,26.6,26.42,3.48,13.23,0.81,SPD概念
6,300026,红日药业,3.69,1.37,0.05,893900,3.28 亿,2.2,3.7,3.62,3.63,3.64,3.26,102.94,1.28,SPD概念
7,600272,开开实业,12.92,1.17,0.15,52539,6774.43 万,2.51,13.05,12.73,12.79,12.77,3.28,262.3,4.37,SPD概念
8,000411,英特集团,11.25,0.99,0.11,45581,5117.88 万,2.33,11.39,11.13,11.19,11.14,1.24,14.78,1.25,SPD概念
9,603716,塞力医疗,24.68,0.08,0.02,432542,10.65 亿,10.1,25.87,23.38,24.31,24.66,19.83,-46.27,4.9,SPD概念
10,000705,浙江震元,9.07,0.0,0.0,125838,1.14 亿,1.54,9.17,9.03,9.1,9.07,4.46,40.54,1.5,SPD概念
11,301370,国科恒泰,10.58,-0.19,-0.02,40837,4343.77 万,2.36,10.8,10.55,10.65,10.6,1.26,55.44,1.99,SPD概念
12,000503,国新健康,7.98,-1.12,-0.09,87908,7021.84 万,1.73,8.07,7.93,8.05,8.07,0.9,-42.34,6.18,SPD概念
13,603108,润达医疗,12.75,-1.62,-0.21,98729,1.26 亿,2.16,12.95,12.67,12.89,12.96,1.64,-35.48,1.86,SPD概念
