排名,板块名称,板块代码,最新价,涨跌额,涨跌幅,总市值,换手率,上涨家数,下跌家数,领涨股票,领涨股票-涨跌幅
1,昨日连板,BK0816,5238.29,397.78,8.22,821.00 亿,2.27,6,1,津药药业,10.07
2,昨日连板_含一字,BK1051,5284.34,313.06,6.3,913.36 亿,4.75,7,2,津药药业,10.07
3,资源开采概念,BK1017,1949.51,59.05,3.12,3986.11 亿,3.13,16,5,贝肯能源,9.97
4,SPD概念,BK1147,1146.57,30.36,2.72,1028.75 亿,4.64,9,3,重药控股,10.0
5,昨日打二板以上表现,BK1645,1619.1,37.45,2.37,250.79 亿,17.94,2,1,津药药业,10.07
