序号,代码,名称,最新价,涨跌幅,成交额(亿元)
1,sz300274,阳光电源,127.25,-5.355,146.84 亿
2,sz300308,中际旭创,582.0,-3.301,103.93 亿
3,sz300502,新易盛,447.49,-2.846,98.27 亿
4,sz300394,天孚通信,322.8,-3.159,91.79 亿
5,sz300750,宁德时代,401.17,-1.119,89.88 亿
6,sh601899,紫金矿业,33.12,-3.016,86.04 亿
7,sh601138,工业富联,52.0,-2.476,82.94 亿
8,sh600487,亨通光电,53.39,2.752,79.55 亿
9,sz002460,赣锋锂业,79.93,3.389,72.47 亿
10,sh688256,寒武纪,998.99,-4.985,71.84 亿
11,sz300476,胜宏科技,257.08,-0.031,71.11 亿
12,sz001309,德明利,360.15,-3.18,69.41 亿
13,sh600105,永鼎股份,30.29,-0.721,67.92 亿
14,sh601872,招商轮船,19.47,8.167,64.28 亿
15,sh688525,佰维存储,210.82,-2.217,64.20 亿
16,sh603986,兆易创新,246.99,-3.141,63.67 亿
17,sh601869,长飞光纤,332.49,7.951,63.38 亿
18,sz000592,平潭发展,12.57,4.576,62.32 亿
19,sz002594,比亚迪,101.65,-0.974,61.54 亿
20,sz000988,华工科技,100.34,-4.201,60.53 亿
