序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率,所属板块
1,920088,科力股份,61.98,15.76,8.44,124902,7.34 亿,16.06,63.6,55.0,55.0,53.54,38.95,96.3,7.86,资源开采概念
2,600339,中油工程,4.46,10.12,0.41,2151538,9.29 亿,10.86,4.46,4.02,4.03,4.05,3.85,35.68,0.93,资源开采概念
3,002828,贝肯能源,13.79,9.97,1.25,280457,3.82 亿,6.22,13.79,13.01,13.29,12.54,14.49,71.65,3.98,资源开采概念
4,300164,通源石油,15.72,6.29,0.93,1956854,30.75 亿,6.42,16.18,15.23,15.23,14.79,33.55,123.4,6.35,资源开采概念
5,603619,中曼石油,35.06,5.73,1.9,385929,13.43 亿,4.46,35.44,33.96,34.12,33.16,8.35,26.81,3.73,资源开采概念
6,002207,准油股份,9.8,5.15,0.48,428560,4.18 亿,5.47,9.94,9.43,9.43,9.32,16.43,-60.44,72.49,资源开采概念
7,600583,海油工程,6.9,4.07,0.27,1274907,8.67 亿,4.52,6.94,6.64,6.64,6.63,2.88,14.64,1.15,资源开采概念
8,601808,中海油服,16.15,3.99,0.62,425981,6.81 亿,4.06,16.17,15.54,15.59,15.53,1.44,20.06,1.65,资源开采概念
9,002554,惠博普,3.74,3.6,0.13,657857,2.43 亿,3.6,3.75,3.62,3.64,3.61,4.93,355.39,2.11,资源开采概念
10,300191,潜能恒信,38.59,3.51,1.31,253103,9.72 亿,4.51,39.19,37.51,37.91,37.28,11.44,-509.2,11.63,资源开采概念
11,600871,石化油服,2.95,3.51,0.1,3089860,9.06 亿,4.91,2.99,2.85,2.85,2.85,2.28,84.88,6.04,资源开采概念
12,600968,海油发展,4.6,3.37,0.15,1101524,5.01 亿,3.37,4.61,4.46,4.46,4.45,1.08,12.04,1.58,资源开采概念
13,300157,新锦动力,6.56,0.92,0.06,713959,4.71 亿,3.23,6.68,6.47,6.5,6.5,10.09,47.19,-24.84,资源开采概念
14,002629,仁智股份,6.68,0.91,0.06,222913,1.50 亿,3.93,6.88,6.62,6.63,6.62,5.27,-100.93,79.48,资源开采概念
15,603727,博迈科,21.01,0.57,0.12,252823,5.34 亿,4.69,21.5,20.52,20.84,20.89,8.97,96.32,1.84,资源开采概念
