序号,名称,代码,涨停统计,涨跌幅,最新价,涨停价,成交额,流通市值,总市值,换手率,涨速,首次封板时间,炸板次数,振幅,所属行业
1,王力安防,605268,6天5板,-4.6856465339660645,16.07,18.55,8.59 亿,70.79 亿,71.72 亿,12.01198959350586,-0.06218905374407768,092504,1,19.632266998291016,家居用品
2,宇环数控,002903,3天2板,-4.017122268676758,29.15,33.41,14.96 亿,31.09 亿,45.68 亿,45.86921691894531,0.10302198678255081,093009,1,15.34408950805664,通用设备
3,秦川机床,000837,0天0板,5.453020095825195,12.57,13.11,10.23 亿,126.63 亿,128.61 亿,7.914130210876465,-0.0794912576675415,093118,1,6.291945934295654,通用设备
4,长飞光纤,601869,2天1板,7.254396915435791,250.01,256.41,62.31 亿,1015.89 亿,2069.85 亿,6.071204662322998,0.28479743003845215,093129,3,5.040755271911621,通信设备
5,天通股份,600330,2天1板,6.097560882568359,18.27,18.94,45.96 亿,225.35 亿,225.35 亿,20.07484245300293,0.0,093731,2,5.691057205200195,电子化学
6,法尔胜,000890,0天0板,5.166475296020508,9.16,9.58,10.90 亿,38.43 亿,38.43 亿,28.005374908447266,-0.5428881645202637,094012,3,13.203213691711426,环保设备
7,协鑫能科,002015,4天2板,7.1743927001953125,19.42,19.93,70.99 亿,315.25 亿,315.25 亿,22.875659942626953,0.0,094909,2,14.017659187316895,电力
8,春兴精工,002547,0天0板,5.263157844543457,3.8,3.97,4.27 亿,41.98 亿,42.87 亿,10.107611656188965,0.0,094921,1,10.249307632446289,汽车零部
9,众智科技,301361,0天0板,14.597199440002441,49.93,52.28,7.28 亿,15.20 亿,58.09 亿,49.72289276123047,0.0,100454,1,22.07941246032715,电网设备
10,永臻股份,603381,0天0板,2.9143898487091064,28.25,30.2,6.77 亿,40.15 亿,67.02 亿,16.473356246948242,0.6771204471588135,103114,1,9.544626235961914,光伏设备
11,盈峰环境,000967,0天0板,7.840909004211426,9.49,9.68,11.13 亿,300.40 亿,300.54 亿,3.733762264251709,0.0,104206,1,9.772727966308594,环保设备
12,长高电新,002452,0天0板,8.235294342041016,12.88,13.09,12.57 亿,66.45 亿,79.90 亿,19.49156379699707,0.0,105224,1,12.184873580932617,电网设备
13,中一科技,301150,0天0板,14.333333015441895,54.88,57.6,18.97 亿,122.15 亿,128.00 亿,15.77031421661377,0.0,105227,1,18.0,电池
14,兆驰股份,002429,0天0板,6.879361629486084,10.72,11.03,35.80 亿,485.01 亿,485.29 亿,7.365126609802246,0.0,105809,2,8.673977851867676,黑色家电
15,国际医学,000516,0天0板,5.765407562255859,5.32,5.53,11.09 亿,117.30 亿,119.11 亿,9.431519508361816,0.18832391500473022,110633,2,10.536779403686523,医疗服务
16,万润科技,002654,0天0板,5.7971014976501465,16.06,16.7,23.69 亿,135.75 亿,135.76 亿,17.429841995239258,0.24968788027763367,110927,1,10.540184020996094,光学光电
17,真爱美家,003041,0天0板,7.391626358032227,57.97,59.38,6.81 亿,79.32 亿,83.48 亿,8.73531723022461,0.017253277823328972,130206,5,12.356428146362305,服装家纺
18,卓郎智能,600545,6天3板,5.0505051612854,4.16,4.36,12.50 亿,74.38 亿,74.38 亿,17.087467193603516,0.0,134248,2,14.393939018249512,专用设备
