序号,代码,名称,最新价,涨跌幅,成交额(亿元),板块代码,板块名称,主营业务,板块次数
1,sz300274,阳光电源,170.92,9.494,243.12 亿,BK0094,光伏设备,太阳能、风能、储能、氢能、电动汽车及充电等新能源电源设备的研发、生产、销售和服务。,1
2,sz300750,宁德时代,396.8,5.448,226.43 亿,BK0096,电池,动力电池、储能电池的研发、生产、销售。,1
3,sz000988,华工科技,134.88,9.206,164.12 亿,BK0071,自动化设备,激光设备的生产与销售、激光防伪标识的生产与销售、敏感电子元器件的生产与销售、光通信电子元器件的生产与销售、计算机软件与信息系统集成等技术及产品的开发、研制、销售等业务。,1
4,sh600410,华胜天成,32.68,2.67,137.04 亿,BK0086,IT服务,IT系统解决方案、数字化基础设施、数字化应用等业务的生产、制造和销售。,1
5,sz300502,新易盛,393.23,-1.032,135.08 亿,BK0029,通信设备,高性能光模块的研发、生产和销售。,1
6,sz300308,中际旭创,554.68,1.404,134.12 亿,BK0029,通信设备,高端光通信收发模块的研发、生产及销售。,2
7,sz002202,金风科技,30.24,6.18,127.90 亿,BK0095,风电设备,风机制造、风电服务、风电场投资与开发以及水务等其他业务。,1
8,sz002261,拓维信息,41.08,-1.628,115.12 亿,BK0087,软件开发,软件服务与解决方案、AI行业大模型与行业应用、开源鸿蒙行业发行版及创新性产品与解决方案、智能计算。,1
9,sh600498,烽火通信,57.03,-0.297,108.68 亿,BK0029,通信设备,通信系统设备、光纤及线缆、数据网络等产品的生产与销售。,3
10,sh601179,中国西电,19.15,-4.202,103.97 亿,BK0093,电网设备,输配电及控制设备研发、设计、制造、销售、检测、相关设备成套、技术研究、服务与工程承包等业务。,1
11,sz000547,航天发展,33.31,-1.04,99.15 亿,BK0091,军工电子,蓝军体系及装备、新一代通信与指控装备、空间信息应用、数据智能与安全。,1
12,sz002384,东山精密,104.8,-3.017,97.35 亿,BK0085,元件,电子电路产品、精密组件、触控显示模组、LED显示器件等的研发、生产和销售。,1
13,sh600089,特变电工,31.04,-2.574,96.99 亿,BK0065,综合,输变电业务、新能源业务、能源业务及新材料业务。,1
14,sz002506,协鑫集成,5.96,-1.812,94.93 亿,BK0094,光伏设备,高效电池组件、能源工程、综合能源系统集成等相关产品的研发、设计、生产、销售及一站式服务。,2
15,sz002281,光迅科技,91.49,6.186,93.70 亿,BK0029,通信设备,光电子器件、模块和子系统产品的研发、生产及销售。,4
16,sz300394,天孚通信,331.0,-2.784,89.73 亿,BK0029,通信设备,高速光器件的研发、规模量产和销售业务。,5
17,sz002594,比亚迪,99.22,2.712,89.25 亿,BK0025,汽车整车,以新能源汽车为主的汽车业务、手机部件及组装业务，二次充电电池及光伏业务，同时利用自身的技术优势积极拓展城市轨道交通业务领域。,1
18,sh600487,亨通光电,50.8,1.62,87.75 亿,BK0029,通信设备,通信网络业务、能源互联业务。,6
19,sh688256,寒武纪,1099.0,-4.193,85.94 亿,BK0021,半导体,应用于各类云服务器、边缘计算设备、终端设备中人工智能核心芯片的研发、设计和销售。,1
20,sz002475,立讯精密,50.17,1.579,84.77 亿,BK0024,消费电子,连接器产品研发、生产和销售。,1
