序号,代码,名称,最新价,涨跌幅,成交额(亿元)
3,sh603986,兆易创新,463.15,-10.0,321.22亿
4,sz002384,东山精密,241.92,-10.0,267.74亿
15,sz000063,中兴通讯,36.0,-10.0,128.71亿
