序号,代码,名称,最新价,涨跌幅,成交额(亿元)
1,sz300502,新易盛,430.9,10.677,252.54 亿
2,sz300308,中际旭创,580.0,6.814,214.36 亿
3,sz002384,东山精密,107.38,-2.124,145.99 亿
4,sz300394,天孚通信,303.3,8.321,137.69 亿
5,sz002463,沪电股份,91.0,6.321,137.49 亿
6,sz002202,金风科技,31.0,8.581,136.80 亿
7,sh603986,兆易创新,311.25,5.152,129.96 亿
8,sz300476,胜宏科技,289.65,3.446,124.05 亿
9,sh688525,佰维存储,258.09,9.462,119.78 亿
10,sz000988,华工科技,114.78,3.294,112.08 亿
11,sz300750,宁德时代,402.02,-0.736,106.54 亿
12,sz300274,阳光电源,166.59,0.066,105.61 亿
13,sz301308,江波龙,359.3,8.255,86.18 亿
14,sz300475,香农芯创,169.99,10.635,81.20 亿
15,sz002261,拓维信息,38.92,4.708,76.28 亿
16,sh601868,中国能建,3.38,2.115,74.04 亿
17,sh688008,澜起科技,153.62,4.796,73.02 亿
18,sh688256,寒武纪,1066.0,-1.295,72.59 亿
19,sz001309,德明利,374.0,5.65,70.62 亿
20,sh601899,紫金矿业,34.92,0.057,69.09 亿
