序号,代码,名称,涨跌幅,最新价,涨停价,成交额,流通市值,总市值,换手率,涨速,首次封板时间,炸板次数,涨停统计,振幅,所属行业
1,000993,闽东电力,4.872727394104004,14.42,15.13,6.76 亿,63.41 亿,66.04 亿,10.511269569396973,0.0,093118,1,0/0,9.672727584838867,电力
2,300317,珈伟新能,14.258554458618164,6.01,6.31,15.20 亿,49.82 亿,49.89 亿,30.033248901367188,0.0,093124,1,0/0,12.927757263183594,电力
3,600821,金开新能,7.731958389282227,10.45,10.67,59.34 亿,208.71 亿,208.71 亿,28.261201858520508,-0.19102196395397186,093358,3,0/0,9.072165489196777,电力
4,601616,广电电气,5.0,5.46,5.72,7.61 亿,46.61 亿,46.61 亿,16.20350456237793,0.0,093405,1,0/0,9.230769157409668,电网设备
5,600726,华电能源,7.294117450714111,4.56,4.68,20.90 亿,340.88 亿,360.57 亿,6.216622352600098,0.0,093631,1,7/4,11.058823585510254,电力
6,603693,江苏新能,1.8891688585281372,16.18,17.47,10.84 亿,144.24 亿,144.24 亿,7.338654518127441,0.06184292212128639,093853,1,2/1,10.012594223022461,电力
7,605162,新中港,7.345225811004639,10.23,10.48,3.47 亿,40.98 亿,40.98 亿,8.462091445922852,0.0,093933,1,0/0,9.758657455444336,电力
8,600026,中远海能,7.1490092277526855,24.88,25.54,34.82 亿,864.52 亿,1359.75 亿,4.069084644317627,0.0,095059,1,0/0,12.360033988952637,航运港口
9,600758,辽宁能源,3.422982931137085,4.23,4.5,5.08 亿,55.87 亿,55.92 亿,8.92418098449707,0.4750593900680542,095452,2,0/0,10.024450302124023,煤炭开采
10,603655,朗博科技,6.586513519287109,40.78,42.09,2.26 亿,43.23 亿,43.23 亿,5.19657564163208,0.024527838453650475,101541,1,0/0,10.428646087646484,汽车零部
11,600563,法拉电子,8.234782218933105,124.47,126.5,19.79 亿,280.06 亿,280.06 亿,7.115771293640137,-0.008033419027924538,101947,1,0/0,10.0,元件
12,600645,中源协和,7.002334117889404,32.09,32.99,10.46 亿,150.11 亿,150.16 亿,7.002444267272949,0.062363576143980026,102323,1,0/0,10.703568458557129,生物制品
13,300166,东方国信,16.35687828063965,15.65,16.14,51.73 亿,141.75 亿,178.21 亿,37.21367645263672,0.0,102557,2,0/0,15.91077995300293,IT服务Ⅱ
14,000818,航锦科技,6.490066051483154,24.12,24.92,17.75 亿,158.76 亿,159.19 亿,11.187435150146484,-0.04144218564033508,103727,1,0/0,10.772626876831055,化学原料
15,601999,出版传媒,4.563758373260498,7.79,8.2,3.32 亿,42.92 亿,42.92 亿,7.577892303466797,0.1285347044467926,111349,1,0/0,11.00671100616455,出版
16,002025,航天电器,7.714337348937988,60.18,61.46,27.13 亿,273.14 亿,274.08 亿,10.050004005432129,-0.016614055261015892,111557,1,0/0,9.217826843261719,军工电子
17,000014,沙河股份,5.914717674255371,15.4,15.99,5.71 亿,37.28 亿,37.28 亿,15.278924942016602,-0.06489292532205582,112009,1,0/0,9.353507041931152,房地产开
18,002077,大港股份,7.954545497894287,17.1,17.42,14.63 亿,99.24 亿,99.24 亿,14.855281829833984,-0.23337222635746002,112918,2,0/0,9.090909004211426,半导体
19,601872,招商轮船,9.278349876403809,18.02,18.14,45.08 亿,1455.03 亿,1455.03 亿,3.1566078662872314,0.0,134320,2,0/0,12.55306339263916,航运港口
20,002202,金风科技,8.581436157226562,31.0,31.41,136.80 亿,1042.69 亿,1309.37 亿,13.507192611694336,-0.06447453051805496,140251,1,0/0,11.243432998657227,风电设备
21,002831,裕同科技,6.368715286254883,38.08,39.38,10.50 亿,194.59 亿,350.53 亿,5.652838706970215,0.2632964551448822,142200,1,0/0,14.385475158691406,包装印刷
