序号,代码,名称,最新价,涨跌幅,成交额(亿元)
1,sz300308,中际旭创,1184.05,6.864,462.50亿
2,sh603986,兆易创新,583.99,6.026,383.38亿
3,sz300502,新易盛,568.82,10.989,354.30亿
4,sh600584,长电科技,102.7,3.685,274.25亿
5,sz002384,东山精密,260.37,10.0,238.56亿
6,sz002185,华天科技,25.68,6.424,210.83亿
7,sz000725,京东方Ａ,7.02,2.782,202.95亿
8,sh688256,寒武纪,1411.0,1.511,188.33亿
9,sh688981,中芯国际,160.99,-1.583,182.62亿
10,sz002156,通富微电,77.87,5.845,178.25亿
11,sz000938,紫光股份,36.98,-3.698,167.49亿
12,sh688008,澜起科技,270.0,6.808,165.39亿
13,sh600487,亨通光电,74.38,6.242,159.12亿
14,sz300750,宁德时代,364.01,1.379,157.02亿
15,sh688072,拓荆科技,850.01,0.593,150.16亿
16,sz000977,浪潮信息,84.95,-0.632,145.33亿
17,sh688012,中微公司,405.3,-0.808,142.27亿
18,sh688041,海光信息,340.85,-1.203,134.60亿
19,sz300394,天孚通信,273.51,5.476,127.60亿
20,sz002371,北方华创,774.2,1.295,127.40亿
