序号,代码,名称,最新价,涨跌额,涨跌幅,昨收,今开,最高,最低,成交量,成交额,成交额(亿元)
1,sh000001,上证指数,3882.4126,-73.166,-1.85,3955.5781,3912.3812,3940.4505,3867.6012,535281873.0,1124208166214,11242.08亿
2,sz399001,深证成指,14488.654,-290.742,-1.967,14779.396,14497.429,14780.46,14386.414,66586933111.0,1279353199758,12793.53亿
3,Total,沪深总成交额,,,,,,,,,2403561365972,24035.61亿
