序号,股票代码,股票名称,收盘价,对应值,成交量,成交额,指标
1,000504,南华生物,9.36,23.12,4117.0501,36886.2178,连续三个交易日内，涨幅偏离值累计达20%的证券
2,000566,海南海药,5.67,23.34,40358.2544,215298.1707,连续三个交易日内，涨幅偏离值累计达20%的证券
3,000676,智度股份,6.22,23.2,13173.2177,76373.2978,连续三个交易日内，涨幅偏离值累计达20%的证券
4,002141,贤丰控股,5.91,27.34,37464.8927,211330.0931,连续三个交易日内，涨幅偏离值累计达20%的证券
5,002309,中利集团,2.93,21.55,58408.4433,160428.2001,连续三个交易日内，涨幅偏离值累计达20%的证券
6,002365,永安药业,13.18,23.21,5021.0647,61670.7827,连续三个交易日内，涨幅偏离值累计达20%的证券
7,002432,九安医疗,72.0,20.41,6901.7563,495386.2823,连续三个交易日内，涨幅偏离值累计达20%的证券
8,002739,儒意电影,10.32,23.17,17895.1716,173973.0799,连续三个交易日内，涨幅偏离值累计达20%的证券
9,002788,鹭燕医药,12.3,22.0,13994.8447,156821.9453,连续三个交易日内，涨幅偏离值累计达20%的证券
10,002900,哈三联,12.11,21.26,4568.3607,52354.9498,连续三个交易日内，涨幅偏离值累计达20%的证券
11,002980,华盛昌,107.37,23.68,3119.7757,318754.7026,连续三个交易日内，涨幅偏离值累计达20%的证券
12,003010,若羽臣,26.23,20.02,3812.7611,93466.6393,连续三个交易日内，涨幅偏离值累计达20%的证券
13,600162,香江控股,2.78,23.01,40986.8829,106430.68,连续三个交易日内，涨幅偏离值累计达20%的证券
14,600664,哈药股份,4.94,23.22,40833.9001,195915.71,连续三个交易日内，涨幅偏离值累计达20%的证券
15,600721,百花医药,8.31,22.93,9453.2681,74496.24,连续三个交易日内，涨幅偏离值累计达20%的证券
16,600785,新华百货,9.32,23.18,5786.0785,49145.06,连续三个交易日内，涨幅偏离值累计达20%的证券
17,603127,昭衍新药,53.25,24.62,23609.3563,1182985.66,连续三个交易日内，涨幅偏离值累计达20%的证券
18,603580,艾艾精工,40.84,23.15,25.1496,988.49,连续三个交易日内，涨幅偏离值累计达20%的证券
19,603725,天安新材,14.08,20.26,5115.9598,71455.57,连续三个交易日内，涨幅偏离值累计达20%的证券
20,605028,世茂能源,24.38,22.52,1103.9478,27027.43,连续三个交易日内，涨幅偏离值累计达20%的证券
21,605189,富春染织,15.78,22.85,9979.321,148925.62,连续三个交易日内，涨幅偏离值累计达20%的证券
22,002173,创新医疗,17.44,11.51,4899.874,82841.9439,涨幅偏离值达7%的证券
23,002881,美格智能,39.05,11.51,1236.0648,47033.84,涨幅偏离值达7%的证券
24,603108,润达医疗,10.31,11.89,4459.8152,44527.49,涨幅偏离值达7%的证券
25,603567,珍宝岛,5.48,11.89,4626.8325,23826.25,涨幅偏离值达7%的证券
26,603716,塞力医疗,16.12,11.89,2738.5373,42228.01,涨幅偏离值达7%的证券
27,002354,天娱数科,7.96,24.31,39554.7955,311979.8509,换手率达20%的证券
28,002396,星网锐捷,28.51,23.22,17586.4554,490485.1814,换手率达20%的证券
29,003020,立方制药,19.72,22.88,3857.1543,78214.3751,换手率达20%的证券
30,603459,红板科技,91.45,33.64,2659.276,232665.8,换手率达20%的证券
31,603538,美诺华,38.35,35.05,11807.765,472282.35,换手率达20%的证券
32,920072,科莱瑞迪,30.58,36.59,529.2886,16449.49,换手率达20%的证券
33,920088,科力股份,41.8,23.68,765.935,32985.34,换手率达20%的证券
34,920211,新睿电子,155.13,26.67,153.6015,23820.56,换手率达20%的证券
35,920305,云创退,1.56,29.43,1883.7999,2879.75,换手率达20%的证券
36,920367,新赣江,35.22,31.71,1331.5559,42258.38,换手率达20%的证券
37,002653,海思科,79.19,16.97,2544.2077,188509.8591,振幅值达15%的证券
38,600403,大有能源,5.25,16.09,14013.8379,77200.3,振幅值达15%的证券
39,600488,津药药业,6.45,16.67,20408.3308,139840.99,振幅值达15%的证券
40,603120,肯特催化,51.51,17.09,732.9345,37384.54,振幅值达15%的证券
41,603757,大元泵业,79.5,18.13,1774.3006,139987.25,振幅值达15%的证券
42,000988,华工科技,130.69,-8.49,6312.4802,843902.9396,跌幅偏离值达7%的证券
43,002080,中材科技,60.86,-8.49,4879.1873,306986.5722,跌幅偏离值达7%的证券
44,002185,华天科技,20.8,-8.49,51258.8611,1081634.1183,跌幅偏离值达7%的证券
45,002317,众生药业,29.96,-8.49,9738.7758,303959.4332,跌幅偏离值达7%的证券
46,002851,麦格米特,151.77,-8.49,3466.761,534706.5613,跌幅偏离值达7%的证券
47,200521,虹美菱B,2.41,-7.69,129.623,271.435,跌幅偏离值达7%的证券
