序号,代码,名称,最新价,涨跌幅,成交额(亿元)
1,sz300308,中际旭创,1113.0,-4.816,344.74亿
2,sz002384,东山精密,268.8,2.404,306.81亿
3,sh603986,兆易创新,514.61,-10.0,288.07亿
4,sh688008,澜起科技,211.13,-16.444,255.79亿
5,sz300502,新易盛,542.6,-2.41,220.52亿
6,sz002156,通富微电,75.95,-3.507,182.29亿
7,sh688256,寒武纪,1279.22,-5.064,172.60亿
8,sz000938,紫光股份,38.59,8.612,171.17亿
9,sz000725,京东方Ａ,6.05,-5.172,160.98亿
10,sh600584,长电科技,83.21,-10.004,158.86亿
11,sz000063,中兴通讯,40.0,1.394,145.83亿
12,sh600487,亨通光电,64.85,-8.726,137.04亿
13,sh688981,中芯国际,151.8,-1.198,130.55亿
14,sz000977,浪潮信息,85.0,0.354,126.91亿
15,sh688525,佰维存储,300.25,-1.363,120.76亿
16,sh688012,中微公司,361.42,-7.634,118.94亿
17,sz002463,沪电股份,136.72,-0.372,108.80亿
18,sz002185,华天科技,20.8,-9.996,108.16亿
19,sh603259,药明康德,127.0,-3.422,106.93亿
20,sh600183,生益科技,146.99,-3.569,106.50亿
