序号,代码,名称,最新价,涨跌幅,成交额(亿元)
1,sz300308,中际旭创,864.0,-9.148,597.73亿
2,sh688825,C长鑫,52.87,-0.151,447.06亿
3,sz300502,新易盛,371.1,-11.895,361.31亿
4,sh603986,兆易创新,371.1,1.942,354.84亿
5,sh688256,寒武纪,1042.43,-9.109,199.18亿
6,sz300750,宁德时代,401.88,1.27,181.03亿
7,sz002384,东山精密,161.8,-10.001,174.87亿
8,sz000636,风华高科,50.5,6.293,131.57亿
9,sz000725,京东方Ａ,5.36,-6.13,119.90亿
10,sh688012,中微公司,346.5,-3.75,119.04亿
11,sh688008,澜起科技,196.78,-5.166,118.30亿
12,sz300408,三环集团,105.3,-3.297,117.69亿
13,sz301526,国际复材,32.93,9.04,115.18亿
14,sz001309,德明利,390.04,10.001,113.66亿
15,sh688525,佰维存储,219.84,3.757,113.57亿
16,sz300285,国瓷材料,61.28,3.654,111.63亿
17,sz002371,北方华创,668.07,-5.425,111.14亿
18,sh688498,源杰科技,1016.8,-17.199,110.40亿
19,sh600176,中国巨石,36.63,-4.585,109.45亿
20,sh600584,长电科技,64.51,-10.003,106.47亿
