序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,动态市盈率,换手率,封单资金,最后封板时间,板上成交额,连续跌停,开板次数,所属行业
1,603516,淳中科技,-9.996331214904785,98.14,11.64亿,199.49亿,199.49亿,2916.75634765625,5.514479637145996,163010,150000,49532922,1,7,计算机设
2,600955,维远股份,-9.964912414550781,12.83,1.63亿,70.56亿,70.56亿,24.73404884338379,2.2745635509490967,1730767,150000,22453778,1,5,化学原料
3,002531,天顺风能,-9.973752975463867,6.86,5.66亿,122.57亿,123.27亿,74.42778778076172,4.558212757110596,3094847,142903,136150570,1,2,风电设备
4,600203,福日电子,-9.966776847839355,10.84,6.77亿,64.28亿,64.28亿,34.61899185180664,10.225064277648926,3882942,150000,55405277,1,3,消费电子
5,002387,维信诺,-9.946236610412598,6.7,2.52亿,93.46亿,93.59亿,-3.7364113330841064,2.6334352493286133,5849187,141527,89830250,1,1,光学光电
6,002772,众兴菌业,-10.007638931274414,11.78,2.16亿,43.78亿,44.14亿,6.783173561096191,4.927019119262695,7149800,130309,373525111,1,24,种植业
7,002289,宇顺电子,-10.0,40.95,2.73亿,112.38亿,114.76亿,58.248924255371094,2.4001641273498535,12903345,130009,148976100,1,14,光学光电
8,603459,红板科技,-10.0,85.05,14.11亿,67.23亿,641.07亿,129.46109008789062,20.10161781311035,16560595,150000,109467855,1,2,元件
9,603163,圣晖集成,-10.0,101.25,4.12亿,101.25亿,101.25亿,65.41442108154297,3.933377981185913,16571790,133901,41370750,1,3,专业工程
10,002579,中京电子,-10.0246000289917,14.63,13.21亿,85.35亿,89.63亿,398.7024841308594,14.863005638122559,19367486,143054,1177420541,1,0,元件
11,002975,博杰股份,-9.998394012451172,112.07,16.29亿,153.93亿,233.25亿,88.48344421386719,10.181816101074219,20945883,134830,155633845,1,22,自动化设
12,603991,领先股份,-9.998178482055664,148.26,12.71亿,132.75亿,226.41亿,111.06339263916016,9.378971099853516,23084082,141704,305955265,1,13,半导体
13,603339,四方科技,-10.013908386230469,12.94,2.65亿,40.04亿,40.04亿,23.639135360717773,6.537893772125244,24058824,133808,61530188,2,13,通用设备
14,600353,旭光电子,-10.00484561920166,37.15,18.45亿,307.90亿,307.90亿,230.6622314453125,5.74141788482666,27854401,141727,115038690,1,2,其他电子
15,002137,实益达,-9.958932876586914,8.77,7.32亿,34.77亿,50.65亿,94.64263916015625,20.658830642700195,34757509,131351,1263991154,3,7,光学光电
16,605358,立昂微,-10.003396987915039,52.99,32.59亿,409.19亿,409.19亿,1415.9532470703125,7.639547824859619,35744563,150000,131653655,1,4,半导体
17,002674,兴业科技,-10.0,28.71,8.57亿,84.00亿,84.85亿,93.88630676269531,9.599630355834961,42318080,140154,95035324,1,3,纺织制造
18,600343,航天动力,-10.01780891418457,20.21,10.00亿,128.98亿,128.98亿,-145.0301971435547,7.552218437194824,48123445,134850,2486561600,3,6,通用设备
19,002208,合肥城建,-10.005322456359863,16.91,16.51亿,135.80亿,135.84亿,-136.4119873046875,11.880102157592773,49688005,134754,1551441769,2,1,房地产开
20,603928,兴业股份,-9.980301856994629,13.71,5.51亿,46.71亿,46.71亿,36.71101379394531,11.447834014892578,51082774,130034,56381717,3,5,塑料
21,002490,山东墨龙,-9.944750785827637,8.15,5.96亿,44.15亿,65.02亿,291.1228332519531,13.224465370178223,67102210,134739,801385425,1,0,专用设备
22,603065,宿迁联盛,-9.983007431030273,21.19,9.03亿,88.78亿,88.78亿,408.0666809082031,9.843395233154297,76226787,110906,1399980920,1,1,化学制品
23,603949,雪龙集团,-10.006540298461914,13.76,3273.78万,28.92亿,29.00亿,30.909061431884766,1.1318459510803223,83366033,092501,842109248,3,0,汽车零部
24,000892,欢瑞世纪,-9.974424362182617,3.52,9174.21万,25.02亿,34.53亿,-21.626461029052734,3.6665396690368652,93145712,092500,511963936,1,0,影视院线
25,002123,梦网科技,-10.021097183227539,8.53,2.32亿,61.46亿,68.70亿,-39.049278259277344,3.7607550621032715,108803775,093727,906659592,1,1,通信服务
26,600118,中国卫星,-9.996347427368164,73.92,64.27亿,874.10亿,874.10亿,-511.8828125,7.113453388214111,230132992,134944,22804018179,2,0,航天装备
27,600360,华微电子,-10.0,14.31,16.98亿,137.42亿,137.42亿,59.3323860168457,12.106874465942383,234598583,103138,451033883,1,9,半导体
28,603698,航天工程,-9.997199058532715,32.14,4.01亿,172.27亿,172.27亿,105.13309478759766,2.326181411743164,263390224,094714,1996421096,3,1,专用设备
29,600288,大恒科技,-10.011641502380371,15.46,2.26亿,67.53亿,67.53亿,33.003868103027344,3.2958333492279053,394136915,093108,107395270,1,0,软件开发
30,002185,华天科技,-10.00778865814209,23.11,151.05亿,767.86亿,768.04亿,221.24525451660156,19.29507064819336,716601928,134627,2954311356,1,5,半导体
31,001309,德明利,-10.0,662.4,17.56亿,1093.41亿,1502.63亿,11.226408004760742,1.60564124584198,6638473440,092500,14616650880,1,0,半导体
