序号,代码,名称,最新价,涨跌额,涨跌幅,昨收,今开,最高,最低,成交量,成交额,成交额(亿元)
1,sh000001,上证指数,3982.6535,55.477,1.413,3927.1764,3930.1044,3983.5066,3924.4738,489834027.0,1112818620627,11128.19亿
2,sz399001,深证成指,14704.274,349.968,2.438,14354.306,14399.198,14704.551,14348.468,64186487329.0,1274638569156,12746.39亿
3,Total,沪深总成交额,,,,,,,,,2387457189783,23874.57亿
