序号,代码,名称,最新价,涨跌幅,成交额(亿元)
1,sz300308,中际旭创,1001.03,6.154,352.74亿
2,sh688825,长鑫科技,61.8,11.997,335.18亿
3,sz300502,新易盛,466.68,4.151,265.68亿
4,sh603986,兆易创新,444.0,6.352,257.10亿
5,sh600487,亨通光电,65.06,3.303,192.43亿
6,sz300394,天孚通信,286.56,7.041,178.99亿
7,sh688256,寒武纪,1156.0,5.764,158.39亿
8,sh600584,长电科技,85.85,9.071,158.27亿
9,sz002384,东山精密,217.66,6.077,156.18亿
10,sz000725,京东方Ａ,6.08,4.647,130.49亿
11,sh600522,中天科技,35.9,0.985,126.96亿
12,sh600176,中国巨石,46.32,4.348,126.63亿
13,sz002428,云南锗业,109.65,7.934,117.61亿
14,sh603259,药明康德,166.89,4.804,113.65亿
15,sh688008,澜起科技,224.37,5.88,112.98亿
16,sz300476,胜宏科技,276.0,2.477,112.71亿
17,sz000938,紫光股份,41.03,2.703,109.74亿
18,sh600183,生益科技,144.49,0.894,109.72亿
19,sh601138,工业富联,68.23,3.082,109.33亿
20,sh603629,利通电子,142.84,3.884,106.07亿
