序号,代码,名称,最新价,涨跌额,涨跌幅,昨收,今开,最高,最低,成交量,成交额,成交额(亿元)
1,sh000001,上证指数,3828.469,15.154,0.397,3813.3146,3823.2931,3845.7661,3782.4811,571226391.0,1087407759096,10874.08亿
2,sz399001,深证成指,13658.443,148.764,1.101,13509.679,13498.753,13756.71,13267.641,67505673105.0,1209171341839,12091.71亿
3,Total,沪深总成交额,,,,,,,,,2296579100935,22965.79亿
