序号,代码,名称,最新价,涨跌幅,成交额(亿元)
1,sh603986,兆易创新,436.74,-1.635,267.95亿
2,sh688825,长鑫科技,59.19,-4.223,254.60亿
3,sz300308,中际旭创,988.1,-1.292,218.31亿
4,sz000725,京东方Ａ,6.47,6.414,204.84亿
5,sz300502,新易盛,452.21,-3.101,176.85亿
6,sh600487,亨通光电,65.41,0.538,170.96亿
7,sz300394,天孚通信,291.44,1.703,157.16亿
8,sz002156,通富微电,70.66,2.021,130.39亿
9,sh600584,长电科技,85.42,-0.501,129.23亿
10,sh688256,寒武纪,1162.5,0.562,125.70亿
11,sz002384,东山精密,213.82,-1.764,117.32亿
12,sh600176,中国巨石,44.91,-3.044,108.87亿
13,sz000938,紫光股份,39.25,-4.338,108.40亿
14,sz002428,云南锗业,108.3,-1.231,104.91亿
15,sh600183,生益科技,139.41,-3.516,103.42亿
16,sh600522,中天科技,35.29,-1.699,100.78亿
17,sh600206,有研新材,57.72,3.33,98.91亿
18,sh688008,澜起科技,218.0,-2.839,97.88亿
19,sz300285,国瓷材料,74.26,1.007,96.48亿
20,sz000636,风华高科,62.34,-1.734,94.63亿
