序号,名称,代码,涨停统计,涨跌幅,最新价,涨停价,成交额,流通市值,总市值,换手率,涨速,首次封板时间,炸板次数,振幅,所属行业
1,天洋新材,603330,5天4板,-4.765957832336426,11.19,12.93,18.94亿,45.51亿,48.42亿,40.00242614746094,0.0,092500,1,20.0,塑料
2,沃格光电,603773,2天1板,7.187290668487549,112.0,114.94,44.54亿,251.64亿,251.73亿,17.598493576049805,0.0,092501,7,5.684754848480225,光学光电
3,华阳新材,600281,2天1板,0.4123711585998535,4.87,5.34,3.31亿,25.05亿,25.05亿,12.688033103942871,0.0,092503,1,12.371133804321289,小金属
4,华生科技,605180,2天1板,-6.160458564758301,13.1,15.36,2.18亿,22.14亿,22.14亿,9.006424903869629,0.0,092503,1,17.406875610351562,纺织制造
5,圣达生物,603079,3天2板,-0.1355932205915451,14.73,16.23,5.76亿,27.84亿,27.84亿,19.294492721557617,0.0,093004,3,12.338983535766602,化学制品
6,南卫股份,603880,2天1板,6.221719264984131,9.39,9.72,3.32亿,27.14亿,27.14亿,12.116740226745605,0.0,093049,6,8.0316743850708,医疗器械
7,嵘泰股份,605133,0天0板,4.5765767097473145,29.02,30.53,5.15亿,81.87亿,82.79亿,6.167560577392578,0.0,093244,2,9.189188957214355,汽车零部
8,风范股份,601700,12天7板,1.2465373277664185,7.31,7.94,21.61亿,83.24亿,83.24亿,24.667232513427734,0.0,093310,8,9.418282508850098,电网设备
9,粤万年青,301111,0天0板,16.114898681640625,23.85,24.65,4.29亿,38.16亿,38.16亿,11.647085189819336,0.0,093357,1,19.474197387695312,中药Ⅱ
10,平潭发展,000592,0天0板,4.122137069702148,6.82,7.21,26.06亿,130.61亿,131.75亿,19.683982849121094,0.0,093900,1,10.534351348876953,林业Ⅱ
11,原尚股份,603813,0天0板,6.507936954498291,33.55,34.65,5197.72万,35.23亿,35.23亿,1.4877055883407593,0.0,094156,1,10.317460060119629,物流
12,人民同泰,600829,0天0板,3.119584083557129,11.9,12.69,9.01亿,69.01亿,69.01亿,12.80329704284668,0.0,094311,1,12.305026054382324,医药商业
13,金 螳 螂,002081,5天4板,7.731958389282227,6.27,6.4,45.70亿,165.79亿,166.49亿,27.94291877746582,0.0,094330,5,11.512027740478516,装修装饰
14,瑞丰高材,300243,0天0板,15.357142448425293,19.38,20.16,16.30亿,43.34亿,54.18亿,36.95942687988281,0.0,094439,8,11.666666984558105,塑料
15,中源家居,603709,0天0板,2.830188751220703,11.99,12.83,2.08亿,19.50亿,19.57亿,10.366476058959961,0.0,094631,3,11.320755004882812,家居用品
16,宝泰隆,601011,0天0板,3.370786428451538,2.76,2.94,2.75亿,52.87亿,52.87亿,5.120217800140381,0.0,095205,1,9.73782730102539,焦炭Ⅱ
17,美农生物,301156,0天0板,9.617020606994629,12.88,14.1,2.23亿,15.24亿,23.71亿,14.624913215637207,0.0,095500,1,20.510637283325195,化学制品
18,中基健康,000972,0天0板,7.4175825119018555,3.91,4.0,2.58亿,30.16亿,30.16亿,8.574775695800781,0.0,100003,3,11.263736724853516,农产品加
19,立昂微,605358,0天0板,6.503541946411133,49.62,51.25,48.18亿,383.17亿,383.17亿,12.635375022888184,0.0,100459,1,9.122129440307617,半导体
20,水发燃气,603318,0天0板,5.494505405426025,9.6,10.01,7.63亿,44.07亿,53.25亿,17.25012969970703,0.0,100850,1,10.439560890197754,燃气Ⅱ
21,秦川机床,000837,0天0板,7.089552402496338,11.48,11.79,9.64亿,115.65亿,117.46亿,8.416688919067383,0.0,101524,1,11.473880767822266,通用设备
22,中水渔业,000798,0天0板,5.450236797332764,8.9,9.28,3.29亿,32.56亿,32.56亿,10.10324478149414,0.0,131103,1,10.663507461547852,渔业
23,埃斯顿,002747,0天0板,10.0,40.04,40.04,45.28亿,313.29亿,387.51亿,15.530253410339355,0.0,145654,1,11.428571701049805,自动化设
