序号,代码,名称,最新价,涨跌幅,成交额(亿元)
1,sz300308,中际旭创,1017.99,8.282,344.43 亿
2,sz300502,新易盛,592.52,5.113,308.91 亿
3,sh688256,寒武纪,1277.87,6.489,261.79 亿
4,sh688008,澜起科技,240.7,-3.419,232.47 亿
5,sz002384,东山精密,219.46,0.531,202.76 亿
6,sh600522,中天科技,44.08,0.502,189.60 亿
7,sz300476,胜宏科技,375.43,-0.743,178.61 亿
8,sz300394,天孚通信,342.45,3.172,173.73 亿
9,sz002281,光迅科技,201.5,1.363,170.94 亿
10,sz000066,中国长城,25.36,8.376,170.82 亿
11,sz002475,立讯精密,77.19,1.486,152.70 亿
12,sh688041,海光信息,349.19,0.003,150.57 亿
13,sz300750,宁德时代,431.25,-3.331,148.69 亿
14,sh601899,紫金矿业,34.58,0.905,145.88 亿
15,sz000988,华工科技,144.16,-2.304,144.64 亿
16,sh603986,兆易创新,353.55,-2.369,143.61 亿
17,sh600276,恒瑞医药,56.11,4.839,138.32 亿
18,sh601138,工业富联,64.4,-2.202,137.29 亿
19,sh600487,亨通光电,75.1,0.147,135.23 亿
20,sz300136,信维通信,109.3,-5.425,129.22 亿
