序号,股票代码,股票名称,收盘价,对应值,成交量,成交额,指标
1,000017,深中华A,9.46,9.5,10627.5699,96182.8274,涨幅偏离值达7%的证券
2,000997,新大陆,20.69,9.5,9040.5209,185271.0333,涨幅偏离值达7%的证券
3,001258,立新能源,13.52,9.5,12636.985,158643.569,涨幅偏离值达7%的证券
4,002703,浙江世宝,17.46,9.5,7350.395,126940.4874,涨幅偏离值达7%的证券
5,003040,楚天龙,17.03,9.5,10873.6175,176961.0153,涨幅偏离值达7%的证券
6,600103,青山纸业,3.47,9.57,22515.4218,75566.9,涨幅偏离值达7%的证券
7,600371,万向德农,9.54,9.44,4834.537,45222.92,涨幅偏离值达7%的证券
8,600468,百利电气,6.57,9.46,4490.714,29378.09,涨幅偏离值达7%的证券
9,603106,恒银科技,8.2,9.47,5214.3389,41527.52,涨幅偏离值达7%的证券
10,000428,华天酒店,4.75,20.04,6448.828,28964.8901,连续三个交易日内，涨幅偏离值累计达20%的证券
11,001268,联合精密,24.55,21.31,3407.6986,78898.5825,连续三个交易日内，涨幅偏离值累计达20%的证券
12,002015,协鑫能科,17.14,21.98,43959.651,720713.0035,连续三个交易日内，涨幅偏离值累计达20%的证券
13,002094,青岛金王,5.65,20.16,14086.8822,74388.1631,连续三个交易日内，涨幅偏离值累计达20%的证券
14,002418,康盛股份,4.46,20.37,21335.1666,90459.7428,连续三个交易日内，涨幅偏离值累计达20%的证券
15,002742,冀衡医药,5.15,20.35,6120.9287,28757.4841,连续三个交易日内，涨幅偏离值累计达20%的证券
16,002855,捷荣技术,12.1,20.17,703.1889,7807.6545,连续三个交易日内，涨幅偏离值累计达20%的证券
17,002949,华阳国际,13.68,20.13,4350.2462,55676.0031,连续三个交易日内，涨幅偏离值累计达20%的证券
18,002963,豪尔赛,22.35,20.18,2135.4385,44218.3542,连续三个交易日内，涨幅偏离值累计达20%的证券
19,600272,开开实业,21.1,27.69,16272.0286,308737.87,连续三个交易日内，涨幅偏离值累计达20%的证券
20,002445,中南文化,3.6,15.58,40051.5,153276.4853,振幅值达15%的证券
21,002491,通鼎互联,22.48,15.63,33924.3502,733240.3495,振幅值达15%的证券
22,600508,上海能源,11.45,15.56,10979.4075,121800.8,振幅值达15%的证券
23,600984,建设机械,4.66,20.13,19024.6997,93537.53,振幅值达15%的证券
24,603800,洪田股份,60.39,15.51,1002.1541,61902.98,振幅值达15%的证券
25,002172,澳洋健康,4.74,35.32,27029.1264,132065.3622,换手率达20%的证券
26,002412,汉森制药,13.09,37.11,18473.1066,243176.27,换手率达20%的证券
27,002437,誉衡药业,4.14,29.78,62607.8374,264523.1075,换手率达20%的证券
28,600127,金健米业,9.8,47.39,30414.3692,292267.82,换手率达20%的证券
29,600613,神奇制药,10.55,29.03,13916.3715,142882.05,换手率达20%的证券
30,600721,百花医药,15.16,33.84,13012.6086,194230.6,换手率达20%的证券
31,603395,红四方,28.81,36.04,2342.2882,66675.91,换手率达20%的证券
32,920093,信胜科技,20.07,26.96,679.3048,13464.4,换手率达20%的证券
33,920176,维琪科技,64.05,44.31,352.0924,22168.06,换手率达20%的证券
34,002867,周大生,11.2,-9.96,3496.0254,39294.5851,跌幅偏离值达7%的证券
35,603279,景津装备,11.48,-9.63,3071.7622,35575.6,跌幅偏离值达7%的证券
36,603516,淳中科技,89.88,-9.94,1185.8525,108266.1,跌幅偏离值达7%的证券
37,605305,中际联合,33.88,-10.29,1428.6275,49073.66,跌幅偏离值达7%的证券
38,300333,兆日科技,12.34,16.75,8993.136,109066.2744,
39,300647,超频三,6.77,16.32,8119.125,52605.2561,
40,301177,迪阿股份,28.73,20.0,760.2735,20348.9782,
41,301630,同宇新材,196.81,20.0,447.7157,87358.9282,
42,688185,康希诺,85.62,20.0,551.1916,46611.82,
43,688828,国仪公司,118.5,15.09,1030.7567,116534.81,
44,300626,华瑞股份,26.07,-17.24,1618.915,44551.1014,
45,301516,中远通,19.58,-16.57,3092.0914,64070.9171,
46,301520,万邦医药,79.14,35.76,1169.2328,93975.2898,
47,301591,肯特股份,42.0,36.14,1615.2785,64693.113,
48,301717,超纯应材,404.0,35.08,611.2565,243764.4838,
49,603156,养元饮品,41.59,-21.76,6878.4331,309053.79,连续三个交易日内，跌幅偏离值累计达20%的证券
