序号,名称,代码,连板数,涨停统计,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,所属行业
1,深中华A,000017,5,5天5板,10.0,9.46,9.62亿,41.70亿,65.20亿,24.108531951904297,61238647,100024,100224,2,饰品
2,楚天龙,003040,4,4天4板,10.012920379638672,17.03,17.70亿,77.80亿,78.53亿,23.801273345947266,34776963,102615,110427,8,通信设备
3,海鸥住工,002084,3,3天3板,10.11494255065918,4.79,1593.86万,30.88亿,30.95亿,0.5161793828010559,327258667,092500,092500,0,家居用品
4,康盛股份,002418,2,2天2板,10.123456954956055,4.46,5.30亿,50.68亿,50.68亿,10.453725814819336,115310610,092500,092500,0,家电零部
5,青山纸业,600103,2,2天2板,10.158730506896973,3.47,7.56亿,76.77亿,77.76亿,10.177248001098633,124279247,093544,093632,1,造纸
6,浙江世宝,002703,2,2天2板,10.018903732299805,17.46,12.69亿,102.32亿,143.63亿,12.542306900024414,118956743,093112,094242,3,汽车零部
7,万向德农,600371,2,7天4板,10.034602165222168,9.54,4.52亿,27.91亿,27.91亿,16.52392578125,34980985,093512,105324,5,种植业
8,豪尔赛,002963,2,2天2板,9.990157127380371,22.35,2.29亿,33.38亿,33.61亿,6.938169002532959,47733230,093145,130812,2,装修装饰
9,华天酒店,000428,2,2天2板,9.953703880310059,4.75,2.13亿,48.40亿,48.40亿,4.549842357635498,98759273,093906,093906,0,酒店餐饮
10,华阳国际,002949,2,2天2板,9.967845916748047,13.68,2.91亿,20.78亿,26.82亿,14.394020080566406,54428629,093636,095248,5,工程咨询
11,冀衡医药,002742,2,2天2板,10.04273509979248,5.15,6628.66万,26.98亿,35.23亿,2.4567010402679443,115237038,092500,092500,0,化学制药
12,捷荣技术,002855,2,2天2板,10.0,12.1,2744.28万,29.79亿,29.82亿,0.921100378036499,96739500,092500,092500,0,消费电子
13,青岛金王,002094,2,2天2板,9.922179222106934,5.65,5.58亿,39.01亿,39.04亿,14.992460250854492,38394575,102739,102739,0,家居用品
14,康希诺,688185,1,首板,20.0,85.62,4.66亿,97.93亿,211.52亿,4.819250106811523,243914341,093054,093054,0,生物制品
15,千金药业,600479,1,首板,9.980039596557617,11.02,2.46亿,46.12亿,54.24亿,5.326394557952881,94867157,093003,093003,0,中药Ⅱ
16,百利电气,600468,1,首板,10.050251007080078,6.57,2.94亿,71.46亿,71.46亿,4.1284990310668945,59070213,093046,093125,1,电网设备
17,融发核电,002366,1,首板,10.052909851074219,6.24,5.00亿,115.47亿,129.85亿,4.330522537231445,166007712,092500,095836,1,其他电源
