序号,代码,名称,最新价,涨跌幅,成交额(亿元)
1,sz300308,中际旭创,850.9,0.579,186.04亿
2,sh600487,亨通光电,64.83,0.356,136.78亿
3,sz300502,新易盛,398.78,-0.521,136.40亿
4,sz002384,东山精密,194.36,1.844,123.70亿
5,sh688825,长鑫科技,56.1,-0.708,113.35亿
6,sh603986,兆易创新,392.5,-0.761,111.59亿
7,sh601899,紫金矿业,34.47,2.346,109.24亿
8,sh688256,寒武纪,1020.0,0.942,99.53亿
9,sz300394,天孚通信,253.58,-1.369,92.93亿
10,sh603993,洛阳钼业,19.59,6.352,90.83亿
11,sz002475,立讯精密,57.11,4.101,86.49亿
12,sz300750,宁德时代,379.0,0.603,79.09亿
13,sh600183,生益科技,130.01,0.783,75.32亿
14,sh601869,长飞光纤,388.02,-1.643,75.05亿
15,sz002491,通鼎互联,22.48,5.047,73.32亿
16,sz002837,英维克,62.07,3.055,71.43亿
17,sz002463,沪电股份,119.22,4.314,70.90亿
18,sz002371,北方华创,700.7,0.043,68.24亿
19,sz300059,东方财富,19.36,2.272,63.98亿
20,sz300476,胜宏科技,249.44,1.816,61.63亿
