序号,代码,名称,最新价,涨跌幅,成交额(亿元)
1,sz300308,中际旭创,822.4,-4.294,220.60亿
2,sz300502,新易盛,386.7,-3.999,137.37亿
3,sh688825,长鑫科技,54.32,-3.858,133.58亿
4,sh600176,中国巨石,44.13,2.58,116.18亿
5,sz300394,天孚通信,250.0,-0.703,102.14亿
6,sh600487,亨通光电,66.9,-0.653,100.35亿
7,sz300750,宁德时代,348.29,-2.739,97.20亿
8,sh600183,生益科技,144.98,0.388,95.53亿
9,sh688256,寒武纪,1108.0,-0.09,85.24亿
10,sz002384,东山精密,183.43,-2.788,82.09亿
11,sh603986,兆易创新,388.86,-1.053,81.92亿
12,sh601899,紫金矿业,32.95,-2.312,77.62亿
13,sz000977,浪潮信息,85.69,0.105,70.76亿
14,sh603259,药明康德,155.99,1.03,65.32亿
15,sz000636,风华高科,49.78,-4.029,56.77亿
16,sz300857,协创数据,262.05,2.971,55.73亿
17,sz002396,星网锐捷,39.83,0.201,54.13亿
18,sh600378,昊华科技,50.44,3.234,53.88亿
19,sz300413,芒果超媒,20.52,0.687,53.02亿
20,sz002475,立讯精密,57.08,0.281,52.59亿
