序号,代码,名称,最新价,涨跌额,涨跌幅,昨收,今开,最高,最低,成交量,成交额,成交额(亿元)
1,sh000001,上证指数,3941.3862,-38.502,-0.967,3979.8877,3963.0661,3965.8078,3932.2515,516472775.0,835367755900,8353.68亿
2,sz399001,深证成指,13611.547,-260.83,-1.88,13872.377,13732.176,13732.176,13549.77,61150128273.0,955810738696,9558.11亿
3,Total,沪深总成交额,,,,,,,,,1791178494596,17911.78亿
