序号,代码,名称,最新价,涨跌幅,成交额(亿元)
1,sz300308,中际旭创,870.22,-7.718,344.92亿
2,sz300502,新易盛,412.0,-6.787,205.75亿
3,sh603986,兆易创新,381.66,-6.698,173.62亿
4,sh688256,寒武纪,969.05,-6.372,168.87亿
5,sh688825,长鑫科技,56.6,-2.414,166.98亿
6,sz300394,天孚通信,249.5,-8.635,163.45亿
7,sz002384,东山精密,193.6,-3.72,152.19亿
8,sh601899,紫金矿业,34.54,-0.576,117.51亿
9,sh603259,药明康德,155.84,-4.31,107.68亿
10,sh600460,士兰微,35.56,-0.919,94.19亿
11,sh600176,中国巨石,39.87,-5.162,93.49亿
12,sh600487,亨通光电,60.43,-2.814,89.48亿
13,sz000725,京东方Ａ,5.75,-4.167,83.72亿
14,sh600584,长电科技,73.8,-6.071,83.44亿
15,sz002428,云南锗业,95.37,-5.462,82.18亿
16,sh600183,生益科技,126.3,-4.895,80.28亿
17,sh688012,中微公司,357.65,-1.338,72.10亿
18,sh601318,中国平安,54.92,2.943,71.50亿
19,sz002281,光迅科技,166.39,-6.826,68.77亿
20,sh688041,海光信息,230.81,-6.255,68.73亿
