序号,代码,名称,最新价,涨跌幅,成交额(亿元)
1,300308,中际旭创,851.0,5.11,336.30 亿
2,300502,新易盛,589.0,9.58,238.74 亿
3,300476,胜宏科技,326.42,7.55,215.82 亿
4,002384,东山精密,162.1,8.39,189.95 亿
5,300394,天孚通信,379.28,6.67,170.79 亿
6,300750,宁德时代,444.2,-2.15,162.90 亿
7,600519,贵州茅台,1407.24,-3.8,136.32 亿
8,688525,佰维存储,270.67,-5.62,135.54 亿
9,300058,蓝色光标,18.0,4.65,130.23 亿
10,603986,兆易创新,288.96,0.78,117.68 亿
11,600487,亨通光电,55.65,4.72,115.81 亿
12,601138,工业富联,60.97,2.78,113.96 亿
13,000988,华工科技,116.68,3.88,110.75 亿
14,000657,中钨高新,56.12,8.13,107.84 亿
15,688256,寒武纪,1334.0,2.07,96.12 亿
16,002463,沪电股份,97.66,3.45,90.23 亿
17,300136,信维通信,74.91,7.32,88.53 亿
18,603799,华友钴业,66.21,0.46,87.14 亿
19,300274,阳光电源,132.75,-0.86,86.79 亿
20,688041,海光信息,260.0,2.77,86.08 亿
