序号,名称,代码,涨停统计,涨跌幅,最新价,涨停价,成交额,流通市值,总市值,换手率,涨速,首次封板时间,炸板次数,振幅,所属行业
1,真视通,002771,2天1板,0.8165487051010132,18.52,20.21,14.80 亿,32.32 亿,38.85 亿,44.14717483520508,0.0,092500,1,9.308655738830566,IT服务Ⅱ
2,乔治白,002687,0天0板,3.673469305038452,5.08,5.39,2.88 亿,21.00 亿,25.64 亿,13.417708396911621,-0.1964636594057083,093033,1,6.938775539398193,服装家纺
3,深圳华强,000062,0天0板,3.9832286834716797,29.76,31.48,25.73 亿,310.96 亿,311.26 亿,8.159462928771973,0.13458949327468872,093121,1,6.988120079040527,其他电子
4,融捷股份,002192,0天0板,5.6610846519470215,84.55,88.02,34.86 亿,219.08 亿,219.54 亿,15.793052673339844,0.18959592282772064,093439,1,9.94751262664795,能源金属
5,锌业股份,000751,0天0板,5.291970729827881,5.77,6.03,10.18 亿,81.35 亿,93.22 亿,12.406617164611816,0.0,093503,1,7.299269676208496,工业金属
6,晶科科技,601778,4天2板,3.753753662109375,6.91,7.33,77.41 亿,246.87 亿,246.87 亿,30.540115356445312,0.14492754638195038,093817,1,7.0570573806762695,电力
7,欧莱新材,688530,0天0板,13.025609016418457,35.75,37.96,7.81 亿,24.23 亿,57.22 亿,31.80063247680664,0.0,094319,2,19.53841209411621,半导体
8,高新发展,000628,0天0板,4.669859409332275,61.19,64.31,15.98 亿,117.63 亿,215.56 亿,13.390731811523438,0.0,100236,1,11.084502220153809,房屋建设
9,华润材料,301090,0天0板,16.25806427001953,9.01,9.3,6.60 亿,132.53 亿,132.67 亿,5.045135021209717,0.0,100545,5,20.25806427001953,塑料
10,东方通信,600776,0天0板,7.170294284820557,16.74,17.18,14.49 亿,160.03 亿,210.25 亿,9.065824508666992,0.0,100640,1,10.563380241394043,通信设备
11,青山纸业,600103,0天0板,5.911330223083496,4.3,4.47,22.04 亿,95.13 亿,96.36 亿,23.0982666015625,0.0,102803,1,12.561575889587402,造纸
12,世联行,002285,0天0板,2.5723471641540527,3.19,3.42,5.28 亿,63.01 亿,63.57 亿,8.218545913696289,-0.3125,105615,1,10.932476043701172,房地产服
13,西藏城投,600773,0天0板,6.392045497894287,22.47,23.23,13.64 亿,213.82 亿,213.82 亿,6.413211822509766,0.22301515936851501,110733,2,10.558712005615234,房地产开
14,东材科技,601208,0天0板,7.997647762298584,36.73,37.41,34.73 亿,371.04 亿,371.04 亿,9.477861404418945,0.05448106676340103,111804,1,10.026463508605957,塑料
15,星帅尔,002860,0天0板,7.858243465423584,14.0,14.28,6.65 亿,49.22 亿,50.36 亿,13.632160186767578,-0.21382752060890198,130448,1,11.171032905578613,家电零部
16,航天工程,603698,4天2板,8.478158950805664,46.19,46.84,29.92 亿,247.57 亿,247.57 亿,12.354127883911133,0.32580363750457764,131707,5,10.403944969177246,专用设备
17,中钨高新,000657,2天1板,8.131021499633789,56.12,57.09,107.84 亿,815.38 亿,1278.75 亿,13.392129898071289,0.0,132024,3,7.167629718780518,小金属
18,卧龙新能,600173,0天0板,7.68194055557251,7.99,8.16,5.63 亿,55.96 亿,55.97 亿,10.184786796569824,0.25094103813171387,132025,1,10.646900177001953,房地产开
19,创世纪,300083,0天0板,14.26701545715332,8.73,9.17,18.81 亿,130.30 亿,145.34 亿,14.32604694366455,0.0,132327,1,20.942407608032227,自动化设
20,盛景微,603375,0天0板,7.701988697052002,42.79,43.7,3.69 亿,27.29 亿,43.08 亿,13.73705005645752,0.0,140055,1,10.571356773376465,半导体
