序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率,所属板块
1,300776,帝尔激光,99.36,20.0,16.56,195789,18.88 亿,17.61,99.36,84.78,84.78,82.8,11.65,52.43,7.22,玻璃基板
2,920971,天马新材,29.95,16.67,4.28,73695,2.12 亿,22.59,31.37,25.57,25.8,25.67,8.6,82.47,6.74,玻璃基板
3,301338,凯格精机,180.91,10.93,17.82,82683,14.84 亿,14.09,190.0,167.02,167.8,163.09,13.98,119.06,12.29,玻璃基板
4,600552,凯盛科技,15.02,10.04,1.37,1001366,14.61 亿,10.99,15.02,13.52,13.58,13.65,10.6,110.27,3.34,玻璃基板
5,600707,彩虹股份,7.79,10.03,0.71,1185711,9.06 亿,9.89,7.79,7.09,7.1,7.08,3.3,74.69,1.28,玻璃基板
6,603773,沃格光电,52.9,10.0,4.81,218748,11.31 亿,10.19,52.9,48.0,48.0,48.09,9.74,-133.19,10.19,玻璃基板
7,688028,沃尔德,105.4,7.32,7.19,103188,10.68 亿,12.12,109.4,97.5,98.22,98.21,6.84,168.34,8.01,玻璃基板
8,688518,联赢激光,28.61,6.71,1.8,178129,5.02 亿,7.35,28.8,26.83,26.83,26.81,5.22,56.7,2.99,玻璃基板
9,300456,赛微电子,55.9,6.37,3.35,1029316,56.95 亿,8.3,56.94,52.58,52.88,52.55,17.23,27.78,6.08,玻璃基板
10,688170,德龙激光,60.95,6.35,3.64,103635,6.40 亿,12.28,65.0,57.96,57.96,57.31,10.03,250.06,5.01,玻璃基板
11,603005,晶方科技,31.24,5.15,1.53,633495,19.65 亿,7.17,31.93,29.8,30.0,29.71,9.71,55.12,4.42,玻璃基板
12,688401,路维光电,57.09,4.56,2.49,60240,3.37 亿,6.79,57.24,53.53,54.57,54.6,3.12,43.81,6.88,玻璃基板
13,688079,美迪凯,16.25,4.43,0.69,153908,2.51 亿,7.78,16.65,15.44,15.5,15.56,3.81,-42.71,5.23,玻璃基板
14,002962,五方光电,17.35,3.89,0.65,492215,8.55 亿,9.58,18.0,16.4,16.62,16.7,23.53,104.52,2.86,玻璃基板
15,000988,华工科技,116.68,3.88,4.36,954008,110.75 亿,4.26,117.58,112.79,113.0,112.32,9.49,79.77,10.61,玻璃基板
