序号,名称,代码,连板数,涨停统计,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,所属行业,涨停价,涨速,振幅
1,圣阳股份,002580,7.0,17天9板,10.0,30.58,24.97 亿,138.33 亿,138.79 亿,18.180532455444336,240388768.0,093330,112406,14,电池,,,
2,博云新材,002297,5.0,5天5板,10.01243782043457,17.69,20.08 亿,101.38 亿,101.38 亿,20.1871280670166,117809916.0,093651,093721,1,航空装备,,,
3,盛视科技,002990,4.0,4天4板,9.995682716369629,50.95,9.05 亿,69.19 亿,133.41 亿,13.265801429748535,81127685.0,093712,112730,6,计算机设,,,
4,京投发展,600683,3.0,3天3板,10.0,11.99,3.26 亿,88.82 亿,88.82 亿,3.6845791339874268,52767570.0,093226,093647,2,房地产开,,,
5,均瑶健康,605388,3.0,3天3板,10.049627304077148,8.87,4.09 亿,53.26 亿,53.26 亿,7.757967948913574,56220721.0,093112,093209,1,饮料乳品,,,
8,可川科技,603052,2.0,2天2板,10.003959655761719,83.35,9.12 亿,156.61 亿,156.61 亿,5.988292694091797,75398660.0,103346,103346,0,消费电子,,,
14,天通股份,600330,1.0,首板,10.02531623840332,21.73,8.20 亿,268.03 亿,268.03 亿,3.0612401962280273,371164914.0,092502,092502,0,电子化学,,,
20,剑桥科技,603083,1.0,首板,10.001514434814453,145.29,33.83 亿,400.40 亿,512.37 亿,8.54732894897461,596678134.0,094025,094025,0,通信设备,,,
21,彩虹股份,600707,1.0,首板,10.028247833251953,7.79,9.06 亿,279.48 亿,279.54 亿,3.3049612045288086,55892432.0,094110,130037,1,光学光电,,,
24,沃格光电,603773,1.0,7天4板,10.002079963684082,52.9,11.31 亿,118.84 亿,118.89 亿,9.73692512512207,86609572.0,094243,100723,3,光学光电,,,
25,云南锗业,002428,1.0,首板,10.007097244262695,62.0,61.70 亿,404.88 亿,404.93 亿,15.394145011901855,139931210.0,094242,101436,5,小金属,,,
27,帝尔激光,300776,1.0,首板,20.0,99.36,18.88 亿,167.01 亿,272.25 亿,11.648260116577148,121055256.0,094627,100618,7,光伏设备,,,
43,利通电子,603629,1.0,8天4板,10.005216598510742,105.44,37.47 亿,270.82 亿,276.59 亿,14.498740196228027,133320444.0,104034,105752,1,消费电子,,,
46,光迅科技,002281,1.0,首板,9.999058723449707,116.83,71.17 亿,910.66 亿,942.44 亿,8.00037670135498,400051739.0,105800,105800,0,通信设备,,,
52,三安光电,600703,1.0,首板,9.975268363952637,13.34,55.53 亿,665.54 亿,665.54 亿,8.597420692443848,73766945.0,130010,142313,9,光学光电,,,
56,凯盛科技,600552,1.0,首板,10.036630630493164,15.02,14.61 亿,141.88 亿,141.88 亿,10.600876808166504,52972536.0,130637,143419,2,光学光电,,,
60,中瓷电子,003031,1.0,首板,10.004890441894531,112.48,15.88 亿,382.61 亿,507.34 亿,4.270517826080322,132501440.0,131903,131903,0,通信设备,,,
65,泰晶科技,603738,1.0,首板,9.989063262939453,30.17,18.26 亿,116.42 亿,116.42 亿,16.283411026000977,63969451.0,135209,135209,0,元件,,,
