排名,板块名称,板块代码,最新价,涨跌额,涨跌幅,总市值,换手率,上涨家数,下跌家数,领涨股票,领涨股票-涨跌幅
1,昨日连板,BK0816,6944.77,460.04,7.09,1657.09 亿,9.07,4,1,均瑶健康,10.05
2,昨日打二板以上表现,BK1645,1948.87,123.48,6.76,804.73 亿,19.39,5,1,博云新材,10.01
3,光通信模块,BK1136,3548.56,156.44,4.61,52313.69 亿,7.09,70,11,天通股份,10.03
4,昨日连板_含一字,BK1051,7299.79,319.65,4.58,2140.89 亿,10.89,7,3,均瑶健康,10.05
5,玻璃基板,BK1175,2339.92,100.5,4.49,7651.79 亿,2.58,31,3,帝尔激光,20.0
