序号,代码,名称,最新价,涨跌幅,成交额(亿元)
1,688256,寒武纪,1699.96,20.0,284.66 亿
2,601138,工业富联,62.88,-5.1,186.34 亿
3,603986,兆易创新,312.99,1.33,185.17 亿
4,300308,中际旭创,857.5,1.48,182.56 亿
5,300502,新易盛,525.79,-2.09,159.97 亿
6,002384,东山精密,186.73,1.35,153.13 亿
7,688041,海光信息,296.25,6.27,143.91 亿
8,600111,北方稀土,53.04,4.1,143.02 亿
9,300750,宁德时代,436.0,-2.02,131.27 亿
10,688981,中芯国际,118.73,5.57,119.12 亿
11,002281,光迅科技,144.28,8.59,113.27 亿
12,688521,芯原股份,280.88,20.0,111.24 亿
13,002709,天赐材料,60.51,2.01,109.00 亿
14,000988,华工科技,119.53,0.41,108.69 亿
15,300136,信维通信,91.3,6.77,108.32 亿
16,600150,中国船舶,41.76,1.46,107.19 亿
17,300476,胜宏科技,328.49,-1.61,106.73 亿
18,600487,亨通光电,65.7,-2.49,105.77 亿
19,002475,立讯精密,67.0,-2.39,104.67 亿
20,002466,天齐锂业,80.03,5.97,103.15 亿
