排名,板块名称,板块代码,最新价,涨跌额,涨跌幅,总市值,换手率,上涨家数,下跌家数,领涨股票,领涨股票-涨跌幅
1,先进封装,BK1101,2830.73,104.19,3.82,18122.51 亿,6.62,23,8,鸿仕达,29.99
2,2026—季报扭亏,BK1682,1149.12,39.03,3.52,5340.10 亿,6.95,8,3,鸿仕达,29.99
3,PLC概念,BK1119,1538.91,50.73,3.41,3770.98 亿,2.33,9,1,英杰电气,12.88
4,彩票概念,BK0671,3236.04,104.93,3.35,1919.56 亿,3.51,14,5,中体产业,10.03
5,汽车芯片,BK0969,1602.17,46.69,3.0,20283.80 亿,3.52,53,16,盛景微,9.99
