序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率,所属板块
1,920125,鸿仕达,87.2,29.99,20.12,48946,3.81 亿,25.64,87.2,70.0,70.48,67.08,29.7,861.25,7.62,2026—季报扭亏
2,301666,大普微-UW,318.0,7.43,22.0,92276,28.00 亿,19.09,338.5,282.0,285.0,296.0,34.8,93.75,155.65,2026—季报扭亏
3,002460,赣锋锂业,88.68,2.05,1.78,1075419,95.78 亿,4.94,91.19,86.9,87.0,86.9,8.88,25.3,4.0,2026—季报扭亏
4,300839,博汇股份,14.66,2.02,0.29,77921,1.14 亿,2.71,14.78,14.39,14.48,14.37,2.69,23.12,5.37,2026—季报扭亏
5,300190,维尔利,4.2,1.2,0.05,322667,1.34 亿,3.61,4.25,4.1,4.15,4.15,3.42,158.08,1.28,2026—季报扭亏
6,603032,德新科技,23.31,1.0,0.23,143433,3.36 亿,4.29,23.85,22.86,23.02,23.08,6.19,54.13,4.65,2026—季报扭亏
7,603906,龙蟠科技,33.17,0.55,0.18,830232,27.80 亿,5.7,34.52,32.64,33.5,32.99,14.69,26.51,7.47,2026—季报扭亏
8,001309,德明利,524.81,0.36,1.88,193544,101.44 亿,4.97,535.0,509.01,517.71,522.93,12.0,8.89,17.97,2026—季报扭亏
9,300363,博腾股份,21.21,-0.33,-0.07,140785,3.00 亿,3.57,21.66,20.9,21.15,21.28,2.82,103.41,2.15,2026—季报扭亏
10,600955,维远股份,19.41,-1.97,-0.39,86535,1.69 亿,2.42,19.81,19.33,19.73,19.8,1.57,37.42,1.39,2026—季报扭亏
11,603026,石大胜华,114.92,-3.63,-4.33,274043,32.22 亿,6.42,122.16,114.5,120.0,119.25,11.78,23.74,5.14,2026—季报扭亏
