序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率,所属板块
1,920125,鸿仕达,87.2,29.99,20.12,48946,3.81 亿,25.64,87.2,70.0,70.48,67.08,29.7,861.25,7.62,先进封装
2,688256,寒武纪,1699.96,20.0,283.33,178843,284.66 亿,15.88,1699.96,1475.0,1475.0,1416.63,4.24,176.87,55.69,先进封装
3,688521,芯原股份,280.88,20.0,46.81,409052,111.24 亿,8.92,280.88,260.0,260.0,234.07,7.78,-108.35,46.94,先进封装
4,688820,盛合晶微,103.0,11.35,10.5,598629,59.37 亿,17.3,107.0,91.0,93.79,92.5,34.62,250.7,11.28,先进封装
5,688808,C联讯,1033.33,11.35,105.33,48872,47.91 亿,16.06,1060.0,911.0,911.0,928.0,25.33,223.06,77.54,先进封装
6,688216,气派科技,30.64,6.43,1.85,53496,1.63 亿,9.27,31.49,28.82,29.29,28.79,5.03,-236.05,4.79,先进封装
7,688362,甬矽电子,49.21,5.33,2.49,166850,8.11 亿,5.46,49.55,47.0,47.3,46.72,4.06,189.8,7.75,先进封装
8,300814,中富电路,108.1,5.07,5.22,115033,12.44 亿,8.11,111.9,103.56,105.24,102.88,6.01,273.73,12.64,先进封装
9,002156,通富微电,51.77,4.59,2.27,1320363,68.22 亿,5.37,52.89,50.23,50.98,49.5,8.7,59.69,5.02,先进封装
10,688720,艾森股份,80.13,3.69,2.85,46483,3.70 亿,5.84,81.2,76.69,76.7,77.28,8.24,187.49,6.77,先进封装
11,600584,长电科技,45.56,2.71,1.2,1014030,45.66 亿,3.94,45.86,44.11,44.65,44.36,5.67,70.21,2.83,先进封装
12,301348,蓝箭电子,25.08,2.66,0.65,126599,3.16 亿,3.85,25.31,24.37,24.44,24.43,8.16,-187.28,4.1,先进封装
13,002185,华天科技,13.11,2.66,0.34,1947739,25.41 亿,3.05,13.16,12.77,12.86,12.77,5.96,123.38,2.39,先进封装
14,688535,DR华海诚,90.53,2.26,2.0,87118,7.84 亿,6.57,92.5,86.68,89.99,88.53,7.3,237.53,4.04,先进封装
15,300456,赛微电子,45.82,2.07,0.93,431145,19.74 亿,3.99,46.66,44.87,45.08,44.89,7.22,-170.83,5.07,先进封装
