序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率,所属板块
1,300651,金陵体育,36.08,13.25,4.22,299565,10.66 亿,18.24,38.2,32.39,32.67,31.86,28.98,2324.83,4.66,彩票概念
2,600158,中体产业,11.85,10.03,1.08,674393,7.96 亿,2.88,11.85,11.54,11.54,10.77,7.03,-495.84,4.74,彩票概念
3,002235,安妮股份,11.2,10.02,1.02,1059836,11.71 亿,9.72,11.2,10.21,10.21,10.18,19.15,-2223.46,8.9,彩票概念
4,002181,粤 传 媒,16.49,10.01,1.5,753194,12.02 亿,9.41,16.49,15.08,15.2,14.99,6.64,273.33,4.5,彩票概念
5,600433,冠豪高新,4.84,10.0,0.44,1719433,8.12 亿,11.59,4.84,4.33,4.34,4.4,9.82,11.76,1.92,彩票概念
6,002277,友阿股份,6.17,5.65,0.33,482053,2.98 亿,5.65,6.3,5.97,5.98,5.84,3.46,50.73,1.35,彩票概念
7,600238,*ST椰岛,5.64,2.55,0.14,244400,1.40 亿,4.0,5.78,5.56,5.78,5.5,5.49,685.27,32.42,彩票概念
8,000829,天音控股,11.7,2.01,0.23,483569,5.66 亿,6.63,12.03,11.27,11.27,11.47,4.72,-118.14,4.14,彩票概念
9,002229,鸿博股份,16.39,1.86,0.3,479193,7.86 亿,4.54,16.67,15.94,16.1,16.09,9.72,-64.15,7.6,彩票概念
10,002376,新北洋,7.36,1.24,0.09,164317,1.21 亿,2.61,7.44,7.25,7.25,7.27,2.09,158.81,1.56,彩票概念
11,002117,东港股份,10.2,1.19,0.12,62051,6308.35 万,1.49,10.2,10.05,10.07,10.08,1.19,26.91,3.61,彩票概念
12,000665,湖北广电,4.79,0.84,0.04,175955,8425.19 万,2.74,4.84,4.71,4.72,4.75,1.55,-11.85,1.71,彩票概念
13,002197,证通电子,8.05,0.75,0.06,133949,1.07 亿,1.88,8.07,7.92,7.98,7.99,2.51,691.38,2.81,彩票概念
14,002697,红旗连锁,5.2,0.39,0.02,163814,8514.23 万,1.16,5.23,5.17,5.18,5.18,1.43,12.4,1.43,彩票概念
15,603863,松炀资源,18.1,-0.39,-0.07,63538,1.16 亿,3.8,18.59,17.9,18.51,18.17,3.1,-181.92,15.3,彩票概念
