序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,动态市盈率,换手率,封单资金,最后封板时间,板上成交额,连续跌停,开板次数,所属行业
1,000736,中交地产,-10.037175178527832,4.84,1.46 亿,36.16 亿,36.16 亿,263.1807556152344,3.9291443824768066,3007919,140903,72790403,1,7,房地产开
2,002875,安奈儿,-9.995414733886719,19.63,2.44 亿,35.81 亿,41.82 亿,69.62123107910156,6.635570049285889,3046576,135154,60548735,1,30,服装家纺
3,001278,一彬科技,-9.980138778686523,18.13,1.62 亿,15.47 亿,22.43 亿,-13.154765129089355,10.181988716125488,6028243,133336,24402870,1,14,汽车零部
4,000582,北部湾港,-9.993292808532715,13.42,23.27 亿,289.45 亿,337.79 亿,36.823097229003906,7.632079124450684,8449124,143642,130951380,1,4,航运港口
5,000759,中百集团,-9.913043975830078,5.18,4.22 亿,33.97 亿,34.32 亿,-8.807544708251953,12.044211387634277,9801078,130354,51607611,1,4,一般零售
6,002866,传艺科技,-10.00476360321045,18.89,3.87 亿,34.23 亿,54.69 亿,89.3774642944336,11.024879455566406,12620409,142321,60659568,1,7,消费电子
7,600280,中央商场,-10.025062561035156,3.59,5.85 亿,40.51 亿,40.51 亿,-144.82791137695312,13.88454532623291,57832598,131701,1502216473,1,0,一般零售
