序号,代码,名称,最新价,涨跌幅,成交额(亿元)
1,sh603986,兆易创新,529.31,7.533,293.02 亿
2,sz300308,中际旭创,1280.0,0.392,275.95 亿
3,sh600487,亨通光电,97.87,7.044,257.29 亿
4,sh601138,工业富联,78.55,-3.085,221.20 亿
5,sz000725,京东方Ａ,6.15,10.018,199.50 亿
6,sz002384,东山精密,237.8,6.165,197.53 亿
7,sz300502,新易盛,775.94,-0.807,196.61 亿
8,sh688525,佰维存储,341.31,8.697,195.09 亿
9,sz300476,胜宏科技,366.72,3.757,185.84 亿
10,sh600584,长电科技,80.08,-0.062,182.17 亿
11,sz300750,宁德时代,408.2,-4.273,177.88 亿
12,sz300394,天孚通信,480.45,-3.404,170.54 亿
13,sh688008,澜起科技,259.67,2.273,169.76 亿
14,sh600522,中天科技,46.06,2.401,162.74 亿
15,sz002463,沪电股份,140.82,8.49,150.66 亿
16,sz002156,通富微电,71.1,1.253,144.62 亿
17,sz301308,江波龙,568.48,6.755,136.91 亿
18,sz001309,德明利,680.85,10.001,126.89 亿
19,sh688256,寒武纪,1358.9,-1.393,121.21 亿
20,sh600183,生益科技,143.96,2.034,119.82 亿
