序号,代码,名称,最新价,涨跌幅,成交额(亿元)
1,sz300308,中际旭创,1108.0,1.282,383.91亿
2,sh603986,兆易创新,550.8,-10.0,377.37亿
3,sh600584,长电科技,99.05,-2.037,250.12亿
4,sh688256,寒武纪,1390.0,-0.714,236.02亿
5,sz002384,东山精密,236.7,-2.311,227.08亿
6,sz000725,京东方Ａ,6.83,-10.013,223.95亿
7,sz300502,新易盛,512.5,-2.017,213.87亿
8,sz002185,华天科技,24.13,-4.662,207.71亿
9,sh688072,拓荆科技,845.0,1.563,194.27亿
10,sz000938,紫光股份,38.4,-0.026,190.57亿
11,sh688981,中芯国际,163.58,0.344,179.54亿
12,sz300750,宁德时代,359.06,2.953,165.40亿
13,sz002156,通富微电,73.57,3.693,159.50亿
14,sh688012,中微公司,408.6,-5.963,153.46亿
15,sh688008,澜起科技,252.79,-5.696,148.42亿
16,sz000977,浪潮信息,85.49,-4.502,147.56亿
17,sh688525,佰维存储,339.49,-12.615,138.03亿
18,sh600118,中国卫星,91.26,1.377,137.11亿
19,sz000063,中兴通讯,40.04,-1.209,136.92亿
20,sh603019,中科曙光,106.13,-1.274,133.74亿
